,Standard name,Sc∆ essentiality,Sp∆ essentiality,Final usage in training,Unnamed: 0,id,chrom,start,end,Length,Hits,Reads,Hits_600_bp_upstream,Hits_600_bp_downstream,Neighbourhood Hits,Neighbourhood Index,Max Free Region,Freedom Index,target_seq_counts,600_bp_up_target_seq_counts,600_bp_down_target_seq_counts,target_per_bp,600_up_target_per_bp,600_down_target_per_bp,short name,description
90,S000004853,Ess,Ess,Essential,4930,YMR240C,chrXIII,749930,751240,1311,6,74,2,26,424,0.054000000000000006,1072,0.818,106,66,64,0.0809,0.11,0.1067,CUS1,Cold sensitive U2 snRNA Suppressor
91,S000004328,Ess,Ess,Essential,4379,YLR336C,chrXII,799697,802396,2700,1,1,2,9,480,0.004,2694,0.998,275,50,58,0.1019,0.0833,0.0967,SGD1,Suppressor of Glycerol Defect
92,S000005321,Ess,Ess,Essential,5423,YNR038W,chrXIV,695595,697484,1890,3,13,3,12,325,0.024,1622,0.858,185,55,69,0.0979,0.0917,0.115,DBP6,Dead Box Protein
93,S000001313,Ess,Ess,Essential,3090,YIL051C,chrIX,257843,258280,438,4,15,25,73,674,0.068,158,0.361,44,51,60,0.1005,0.085,0.1,MMF1,Mitochondrial Matrix Factor
94,S000006309,Ess,Ess,Essential,6462,YPR105C,chrXVI,736984,739569,2586,3,17,11,10,173,0.034,1315,0.509,259,62,57,0.1002,0.1033,0.095,COG4,Conserved Oligomeric Golgi complex
95,S000001794,Ess,Ess,Essential,3924,YKR086W,chrXI,599857,603072,3216,6,39,1,7,269,0.035,1798,0.5589999999999999,321,48,69,0.0998,0.08,0.115,PRP16,Pre-mRNA Processing
96,S000006365,Ess,Ess,Essential,6524,YPR161C,chrXVI,864449,866422,1974,6,13,30,16,278,0.055,1383,0.701,174,61,61,0.0881,0.1017,0.1017,SGV1,Suppressor of Gpa1-Val50 mutation
97,S000006366,Ess,Ess,Essential,6525,YPR162C,chrXVI,866715,868304,1590,0,0,19,2,276,0.0,1590,1.0,152,65,76,0.0956,0.1083,0.1267,ORC4,Origin Recognition Complex
98,S000004513,Ess,Ess,Essential,4619,YML049C,chrXIII,174220,178305,4086,4,60,7,9,404,0.012,3972,0.972,400,62,50,0.0979,0.1033,0.0833,RSE1,RNA Splicing and ER-to-Golgi transport
99,S000003640,Ess,Ess,Essential,3327,YJL104W,chrX,227327,227776,450,3,89,8,51,446,0.075,401,0.8909999999999999,40,80,64,0.0889,0.1333,0.1067,PAM16,Presequence translocase-Associated Motor
100,S000003645,Ess,Ess,Essential,3322,YJL109C,chrX,212000,217309,5310,4,17,11,13,349,0.011000000000000001,4473,0.8420000000000001,592,55,67,0.1115,0.0917,0.1117,UTP10,U Three Protein
101,S000003647,Ess,Ess,Essential,3320,YJL111W,chrX,207877,209529,1653,0,0,20,12,148,0.0,1653,1.0,160,65,68,0.0968,0.1083,0.1133,CCT7,Chaperonin Containing TCP-1
102,S000006149,Ess,Ess,Essential,6118,YPL228W,chrXVI,118382,120031,1650,0,0,20,8,296,0.0,1650,1.0,172,67,78,0.1042,0.1117,0.13,CET1,Capping Enzyme Triphosphatase
103,S000003774,Ess,Ess,Essential,3448,YJR013W,chrX,460382,461593,1212,2,14,11,23,437,0.019,726,0.599,120,67,54,0.099,0.1117,0.09,GPI14,GlycosylPhosphatidylInositol anchor biosynthesis
104,S000005629,Ess,Ess,Essential,5751,YOR103C,chrXV,516449,516841,393,0,0,10,20,430,0.0,393,1.0,42,53,52,0.1069,0.0883,0.0867,OST2,OligoSaccharylTransferase
105,S000002604,Ess,Ess,Essential,1225,YDR196C,chrIV,850274,850999,726,0,0,5,4,175,0.0,726,1.0,73,56,63,0.1006,0.0933,0.105,CAB5,
106,S000000233,Ess,Ess,Essential,271,YBR029C,chrII,296369,297742,1374,2,4,17,35,497,0.015,1208,0.879,132,67,68,0.0961,0.1117,0.1133,CDS1,CDP-Diacylglycerol Synthase
107,S000002325,Ess,Ess,Essential,842,YDL166C,chrIV,163449,164042,594,1,7,19,0,250,0.034,594,1.0,49,69,62,0.0825,0.115,0.1033,FAP7,Factor Activating Pos9
108,S000002897,Ess,Ess,Essential,1530,YDR489W,chrIV,1431012,1431896,885,1,1,2,11,239,0.024,667,0.754,78,34,58,0.0881,0.0567,0.0967,SLD5,Synthetic Lethality with Dpb11-1
109,S000001406,Ess,Ess,Essential,2990,YIL144W,chrIX,78074,80149,2076,1,2,5,9,142,0.017,2022,0.9740000000000001,241,54,62,0.1161,0.09,0.1033,NDC80,Nuclear Division Cycle
110,S000004849,Ess,Ess,Essential,4926,YMR236W,chrXIII,742971,743444,474,1,6,0,22,209,0.05,456,0.9620000000000001,29,57,46,0.0612,0.095,0.0767,TAF9,TATA binding protein-Associated Factor
111,S000004848,Ess,Ess,Essential,4925,YMR235C,chrXIII,741512,742735,1224,0,0,4,0,224,0.0,1224,1.0,119,60,50,0.0972,0.1,0.0833,RNA1,rapid cessation of net RNA accumulation
112,S000004842,Ess,Ess,Essential,4918,YMR229C,chrXIII,725934,731123,5190,6,109,4,12,178,0.032,3912,0.754,526,74,75,0.1013,0.1233,0.125,RRP5,Ribosomal RNA Processing
113,S000004840,Ess,Ess,Essential,4916,YMR227C,chrXIII,722613,724385,1773,2,7,15,1,175,0.032,1220,0.688,145,53,68,0.0818,0.0883,0.1133,TAF7,TATA binding protein-Associated Factor
114,S000004332,Ess,Ess,Essential,4383,YLR340W,chrXII,805887,806825,939,1,15,16,17,287,0.019,849,0.904,72,73,60,0.0767,0.1217,0.1,RPP0,Ribosomal Protein P0
115,S000004339,Ess,Ess,Essential,4391,YLR347C,chrXII,823828,826413,2586,0,0,9,35,553,0.0,2586,1.0,215,56,54,0.0831,0.0933,0.09,KAP95,KAryoPherin
116,S000001308,Ess,Ess,Essential,3097,YIL046W,chrIX,268651,270573,1923,1,4,97,13,414,0.006,1918,0.997,139,48,60,0.0723,0.08,0.1,MET30,METhionine requiring
117,S000005798,Ess,Ess,Essential,5926,YOR272W,chrXV,832813,834195,1383,0,0,41,15,496,0.0,1383,1.0,118,50,61,0.0853,0.0833,0.1017,YTM1,
118,S000001787,Ess,Ess,Essential,3917,YKR079C,chrXI,586789,589305,2517,0,0,2,27,334,0.0,2517,1.0,253,72,54,0.1005,0.12,0.09,TRZ1,tRNase Z
119,S000001789,Ess,Ess,Essential,3919,YKR081C,chrXI,591506,592540,1035,3,27,9,7,202,0.07200000000000001,882,0.852,104,68,59,0.1005,0.1133,0.0983,RPF2,Ribosome Production Factor
120,S000002868,Ess,Ess,Essential,1500,YDR460W,chrIV,1383811,1384776,966,1,2,3,55,191,0.027000000000000003,740,0.7659999999999999,89,46,51,0.0921,0.0767,0.085,TFB3,Transcription Factor B subunit 3
121,S000003169,Ess,Ess,Essential,2119,YGL201C,chrVII,117854,120907,3054,1,10,10,6,381,0.004,3042,0.996,285,57,55,0.0933,0.095,0.0917,MCM6,MiniChromosome Maintenance
122,S000002654,Ess,Ess,Essential,1275,YDR246W,chrIV,954288,954947,660,3,49,9,69,309,0.07400000000000001,642,0.973,53,55,39,0.0803,0.0917,0.065,TRS23,TRapp Subunit
123,S000001877,Ess,Ess,Essential,1969,YFL017C,chrVI,103983,104462,480,0,0,11,5,386,0.0,480,1.0,42,57,50,0.0875,0.095,0.0833,GNA1,GlucosamiNe-6-phosphate Acetyltransferase
124,S000001870,Ess,Ess,Essential,1960,YFL024C,chrVI,87847,90345,2499,4,21,20,13,367,0.022000000000000002,2134,0.8540000000000001,220,67,50,0.08800000000000001,0.1117,0.0833,EPL1,Enhancer of Polycomb Like
125,S000001872,Ess,Ess,Essential,1962,YFL022C,chrVI,93499,95010,1512,0,0,14,38,298,0.0,1512,1.0,122,53,51,0.0807,0.0883,0.085,FRS2,phenylalanyl (F)-tRNA Synthetase
126,S000004061,Ess,Ess,Essential,4087,YLR071C,chrXII,275378,278626,3249,1,1,19,5,215,0.006999999999999999,3212,0.9890000000000001,336,52,45,0.1034,0.0867,0.075,RGR1,Resistant to Glucose Repression
127,S000000003,Ess,Ess,Essential,81,YAL003W,chrI,142174,143160,987,0,0,20,20,241,0.0,987,1.0,86,54,75,0.0871,0.09,0.125,EFB1,Elongation Factor Beta
128,S000000001,Ess,Ess,Essential,83,YAL001C,chrI,147594,151166,3573,3,12,18,10,306,0.013999999999999999,3289,0.9209999999999999,349,69,74,0.0977,0.115,0.1233,TFC3,Transcription Factor class C
129,S000002881,Ess,Ess,Essential,1515,YDR473C,chrIV,1404445,1405854,1410,0,0,3,3,349,0.0,1410,1.0,143,62,64,0.1014,0.1033,0.1067,PRP3,Pre-mRNA Processing
130,S000002880,Ess,Ess,Essential,1514,YDR472W,chrIV,1403322,1404173,852,0,0,36,3,340,0.0,852,1.0,75,68,81,0.08800000000000001,0.1133,0.135,TRS31,TRapp Subunit
131,S000002886,Ess,Ess,Essential,1519,YDR478W,chrIV,1414575,1415171,597,0,0,4,8,359,0.0,597,1.0,51,73,54,0.0854,0.1217,0.09,SNM1,Suppressor of Nuclear Mitochondrial endoribonuclease
