,"id","Standard name","chrom","start","end","Length","Hits","Reads","Hits_600_bp_upstream","Hits_600_bp_downstream","Neighbourhood Hits","Neighbourhood Index","Max Free Region","Freedom Index","target_seq_counts","600_bp_up_target_seq_counts","600_bp_down_target_seq_counts","target_per_bp","600_up_target_per_bp","600_down_target_per_bp","short name","description"
14,"YAL054C","S000000050","chrI",42881,45022,2142,65,1518,22,78,685,0.221,206,0.096,165,59,51,0.077,0.0983,0.085,"ACS1","Acetyl CoA Synthetase"
15,"YAL053W","S000000049","chrI",45899,48250,2352,43,616,76,43,508,0.18,276,0.117,204,57,45,0.0867,0.095,0.075,"FLC2","FLavin Carrier"
16,"YAL051W","S000000048","chrI",48564,51707,3144,53,2293,32,9,497,0.17,442,0.141,307,46,57,0.0976,0.0767,0.095,"OAF1","Oleate-Activated transcription Factor"
17,"YAL049C","S000000047","chrI",51855,52595,741,11,104,10,24,483,0.154,164,0.221,57,68,56,0.0769,0.1133,0.0933,"AIM2","Altered Inheritance rate of Mitochondria"
18,"YAL048C","S000000046","chrI",52801,54789,1989,28,141,21,8,463,0.152,389,0.196,171,54,68,0.086,0.09,0.1133,"GEM1","GTPase EF-hand protein of Mitochondria"
19,"YAL047C","S000000045","chrI",54989,56857,1869,0,0,12,18,425,0,1869,1,199,66,54,0.1065,0.11,0.09,"SPC72","Spindle Pole Component"
20,"YAL046C","S000000044","chrI",57029,57385,357,6,115,4,30,305,0.276,144,0.403,27,69,57,0.0756,0.115,0.095,"BOL3","BolA-like protein"
21,"YAL044W-A","S000007586","chrI",57518,57850,333,15,259,19,13,305,0.738,142,0.426,28,54,52,0.0841,0.09,0.0867,"BOL1","BolA-like protein"
22,"YAL044C","S000000042","chrI",57950,58462,513,9,113,32,22,410,0.214,281,0.548,41,54,54,0.0799,0.09,0.09,"GCV3","GlyCine cleaVage"
23,"YAL043C","S000000041","chrI",58695,61052,2358,1,6,30,17,541,0.004,2358,1,181,53,52,0.0768,0.0883,0.0867,"PTA1","Pre-Trna Accumulation"
24,"YAL042W","S000000040","chrI",61316,62563,1248,20,390,9,12,537,0.149,182,0.146,85,53,50,0.0681,0.0883,0.0833,"ERV46","ER Vesicle"
25,"YAL041W","S000000039","chrI",62840,65404,2565,2,7,17,20,563,0.007,1612,0.628,273,47,59,0.1064,0.0783,0.0983,"CDC24","Cell Division Cycle"
26,"YAL040C","S000000038","chrI",65778,67520,1743,15,408,17,40,556,0.077,627,0.36,142,77,44,0.0815,0.1283,0.0733,"CLN3","CycLiN"
27,"YAL039C","S000000037","chrI",68716,69525,810,47,910,108,57,491,0.591,90,0.111,40,45,49,0.0494,0.075,0.0817,"CYC3","CYtochrome C"
28,"YAL038W","S000000036","chrI",71786,73288,1503,0,0,33,21,532,0,1503,1,135,59,72,0.0898,0.0983,0.12,"CDC19","Cell Division Cycle"
29,"YAL037C-A","S000028732","chrI",73426,73518,93,3,15,3,18,517,0.312,56,0.602,11,64,63,0.1183,0.1067,0.105,,
30,"YAL037W","S000000035","chrI",74020,74823,804,22,200,19,18,528,0.259,125,0.155,87,66,63,0.1082,0.11,0.105,,
31,"YAL036C","S000000034","chrI",75043,76152,1110,26,383,28,10,545,0.215,253,0.228,94,68,34,0.0847,0.1133,0.0567,"RBG1","RiBosome interacting Gtpase"
32,"YAL035W","S000000033","chrI",76427,79435,3009,4,12,20,3,570,0.012,1763,0.586,226,40,67,0.0751,0.0667,0.1117,"FUN12","Function Unknown Now"
33,"YAL034W-A","S000000032","chrI",79718,80587,870,3,45,5,19,359,0.048,785,0.902,88,60,61,0.1011,0.1,0.1017,"MTW1","Mis TWelve-like"
34,"YAL034C","S000002134","chrI",80710,81951,1242,26,201,9,22,318,0.329,406,0.327,115,64,46,0.0926,0.1067,0.0767,"FUN19","Function Unknown Now"
35,"YAL033W","S000000031","chrI",82706,83227,522,1,12,11,12,308,0.031,458,0.877,51,44,45,0.0977,0.0733,0.075,"POP5","Processing Of Precursor RNAs"
36,"YAL032C","S000000030","chrI",83335,84474,1140,12,198,3,10,318,0.166,609,0.534,85,56,48,0.0746,0.0933,0.08,"PRP45","Pre-mRNA Processing"
37,"YAL031C","S000000029","chrI",84749,87031,2283,28,591,5,22,309,0.198,396,0.173,206,53,53,0.0902,0.0883,0.0883,"GIP4","Glc7 Interacting Protein"
38,"YAL030W","S000000028","chrI",87286,87752,467,9,71,14,17,261,0.369,102,0.218,40,50,61,0.0857,0.0833,0.1017,"SNC1","Suppressor of the Null allele of CAP"
39,"YAL029C","S000000027","chrI",87855,92270,4416,44,589,20,23,284,0.175,753,0.171,440,61,64,0.0996,0.1017,0.1067,"MYO4","MYOsin"
40,"YAL028W","S000000026","chrI",92900,94486,1587,18,233,23,15,226,0.251,429,0.27,134,66,63,0.0844,0.11,0.105,"FRT2","Functionally Related to TCP1"
41,"YAL027W","S000000025","chrI",94687,95472,786,15,358,12,5,213,0.448,358,0.455,81,65,59,0.1031,0.1083,0.0983,"SAW1","Single-strand Annealing Weakened"
42,"YAL026C","S000000024","chrI",95630,99697,4068,5,69,16,5,283,0.022,3751,0.922,417,57,51,0.1025,0.095,0.085,"DRS2","Deficiency of Ribosomal Subunits"
43,"YAL025C","S000000023","chrI",100225,101145,921,0,0,5,15,258,0,921,1,72,51,78,0.0782,0.085,0.13,"MAK16","MAintenance of Killer"
44,"YAL024C","S000000022","chrI",101565,105872,4308,18,115,14,15,350,0.06,1041,0.242,403,73,59,0.0935,0.1217,0.0983,"LTE1","Low Temperature Essential"
45,"YAL023C","S000000021","chrI",106272,108551,2280,31,201,15,31,282,0.241,285,0.125,178,70,53,0.0781,0.1167,0.0883,"PMT2","Protein O-MannosylTransferase"
46,"YAL022C","S000000020","chrI",108877,110430,1554,30,425,27,19,334,0.289,161,0.104,114,46,54,0.0734,0.0767,0.09,"FUN26","Function Unknown Now"
47,"YAL021C","S000000019","chrI",110846,113359,2514,15,574,25,37,344,0.087,1328,0.528,190,48,43,0.0756,0.08,0.0717,"CCR4","Carbon Catabolite Repression"
48,"YAL020C","S000000018","chrI",113614,114615,1002,26,400,43,24,345,0.376,125,0.125,51,44,42,0.0509,0.0733,0.07,"ATS1","Alpha Tubulin Suppressor"
49,"YAL019W","S000000017","chrI",114919,118314,3396,26,216,29,10,368,0.104,386,0.114,310,38,65,0.0913,0.0633,0.1083,"FUN30","Function Unknown Now"
50,"YAL018C","S000000016","chrI",118564,119541,978,16,269,9,26,336,0.243,283,0.289,84,70,67,0.0859,0.1167,0.1117,"LDS1","Lipid Droplets in Sporulation"
51,"YAL017W","S000000015","chrI",120225,124295,4071,35,586,29,11,388,0.111,853,0.21,386,65,76,0.0948,0.1083,0.1267,"PSK1","Pas domain-containing Serine/threonine protein Kinase"
52,"YAL016W","S000000014","chrI",124879,126786,1908,1,5,11,9,289,0.009,1885,0.988,198,76,54,0.1038,0.1267,0.09,"TPD3","tRNA Processing Deficient"
53,"YAL015C","S000000013","chrI",126903,128102,1200,14,237,7,10,293,0.199,269,0.224,83,66,53,0.0692,0.11,0.0883,"NTG1","eNdonuclease Three-like Glycosylase"
54,"YAL014C","S000000012","chrI",128252,129019,768,11,201,13,6,324,0.221,230,0.299,63,45,44,0.082,0.075,0.0733,"SYN8","SYNtaxin"
55,"YAL013W","S000000011","chrI",129270,130487,1218,3,26,13,32,373,0.033,1082,0.888,69,50,53,0.0567,0.0833,0.0883,"DEP1","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"
56,"YAL012W","S000000010","chrI",130799,131983,1185,33,787,26,25,382,0.365,236,0.199,92,44,63,0.0776,0.0733,0.105,"CYS3","CYStathionine gamma-lyase"
57,"YAL011W","S000000009","chrI",132199,134076,1878,20,229,23,5,412,0.129,628,0.334,152,56,65,0.0809,0.0933,0.1083,"SWC3","SWr Complex"
58,"YAL010C","S000000008","chrI",134184,135665,1482,3,18,13,10,397,0.025,769,0.519,138,56,47,0.0931,0.0933,0.0783,"MDM10","Mitochondrial Distribution and Morphology"
59,"YAL009W","S000000007","chrI",135854,136633,780,8,120,6,11,385,0.133,195,0.25,60,54,60,0.0769,0.09,0.1,"SPO7","SPOrulation"
60,"YAL008W","S000000006","chrI",136914,137510,597,7,127,12,11,399,0.147,245,0.41,66,58,66,0.1106,0.0967,0.11,"FUN14","Function Unknown Now"
61,"YAL007C","S000000005","chrI",137698,138345,648,11,233,7,34,398,0.213,254,0.392,69,67,57,0.1065,0.1117,0.095,"ERP2","Emp24p/Erv25p Related Protein"
62,"YAL003W","S000000003","chrI",142174,143160,987,0,0,34,37,414,0,987,1,86,54,75,0.0871,0.09,0.125,"EFB1","Elongation Factor Beta"
63,"YAL002W","S000000002","chrI",143707,147531,3825,23,2269,37,7,502,0.06,3324,0.869,398,76,63,0.1041,0.1267,0.105,"VPS8","Vacuolar Protein Sorting"
64,"YAL001C","S000000001","chrI",147594,151166,3573,6,103,25,18,488,0.017,2873,0.804,349,69,74,0.0977,0.115,0.1233,"TFC3","Transcription Factor class C"
65,"YAR002W","S000000063","chrI",152257,153876,1620,109,2864,38,20,319,1.055,88,0.054,152,68,54,0.0938,0.1133,0.09,"NUP60","NUclear Pore"
66,"YAR002C-A","S000002129","chrI",154065,154724,660,27,458,33,15,283,0.723,113,0.171,57,65,61,0.0864,0.1083,0.1017,"ERP1","Emp24p/Erv25p Related Protein"
67,"YAR003W","S000000064","chrI",155005,156285,1281,7,25,29,12,298,0.092,738,0.576,124,64,67,0.0968,0.1067,0.1117,"SWD1","Set1c, WD40 repeat protein"
68,"YAR007C","S000000065","chrI",156754,158619,1866,0,0,13,1,328,0,1866,1,162,68,43,0.0868,0.1133,0.0717,"RFA1","Replication Factor A"
69,"YAR008W","S000000066","chrI",158966,159793,828,0,0,1,27,324,0,828,1,74,48,70,0.0894,0.08,0.1167,"SEN34","Splicing ENdonuclease"
70,"YAR014C","S000000069","chrI",166742,168871,2130,7,60,34,25,220,0.075,540,0.254,185,63,62,0.0869,0.105,0.1033,"BUD14","BUD site selection"
71,"YAR015W","S000000070","chrI",169375,170295,921,8,60,25,17,263,0.165,509,0.553,81,68,59,0.0879,0.1133,0.0983,"ADE1","ADEnine requiring"
72,"YAR018C","S000000071","chrI",170396,171703,1308,27,272,16,39,318,0.325,272,0.208,119,58,74,0.091,0.0967,0.1233,"KIN3","protein KINase"
73,"YAR019C","S000000072","chrI",172211,175135,2925,2,65,44,5,427,0.008,2732,0.934,271,75,51,0.0926,0.125,0.085,"CDC15","Cell Division Cycle"
74,"YAR020C","S000000073","chrI",176856,177023,168,1,1,9,7,418,0.071,99,0.589,6,73,46,0.0357,0.1217,0.0767,"PAU7","seriPAUperin family"
75,"YAR023C","S000000074","chrI",179281,179820,540,13,172,6,37,441,0.273,136,0.252,49,64,57,0.0907,0.1067,0.095,,
76,"YAR027W","S000000075","chrI",183770,184477,708,6,64,28,32,626,0.068,440,0.621,66,70,62,0.0932,0.1167,0.1033,"UIP3","Ulp1 Interacting Protein"
77,"YAR028W","S000000076","chrI",184892,185596,705,13,80,27,12,640,0.144,139,0.197,58,58,58,0.0823,0.0967,0.0967,,
78,"YAR029W","S000000077","chrI",186321,186545,225,3,11,12,13,645,0.103,154,0.684,25,52,62,0.1111,0.0867,0.1033,,
79,"YAR035W","S000000080","chrI",190193,192256,2064,164,4698,68,25,673,0.59,92,0.045,84,59,34,0.0407,0.0983,0.0567,"YAT1",
80,"YAR035C-A","S000028595","chrI",192337,192417,81,5,38,41,23,569,0.542,31,0.383,3,26,30,0.037,0.0433,0.05,,
81,"YAR042W","S000000081","chrI",192619,196185,3567,45,507,36,12,579,0.109,316,0.089,283,30,72,0.0793,0.05,0.12,"SWH1",
82,"YBL107C","S000000203","chrII",9961,10551,591,16,260,12,25,295,0.459,120,0.203,45,57,56,0.0761,0.095,0.0933,"MIX23","Mitochondrial Intermembrane space CX(n)C motif protein"
83,"YBL106C","S000000202","chrII",10847,13879,3033,31,410,29,22,344,0.149,473,0.156,277,60,58,0.0913,0.1,0.0967,"SRO77","Suppressor of rho3"
84,"YBL105C","S000000201","chrII",14241,17696,3456,2,30,22,14,410,0.007,3443,0.996,319,73,59,0.0923,0.1217,0.0983,"PKC1","Protein Kinase C"
85,"YBL104C","S000000200","chrII",18177,21293,3117,42,517,10,31,469,0.144,400,0.128,303,65,68,0.0972,0.1083,0.1133,"SEA4","SEh1-Associated"
86,"YBL103C","S000000199","chrII",22076,23536,1461,12,71,14,36,387,0.106,322,0.22,121,70,58,0.0828,0.1167,0.0967,"RTG3","ReTroGrade regulation"
87,"YBL102W","S000000198","chrII",24098,24745,648,16,204,35,13,353,0.35,123,0.19,46,60,66,0.071,0.1,0.11,"SFT2","Suppressor of sed Five Ts"
88,"YBL101C","S000000197","chrII",24946,28299,3354,47,572,16,83,402,0.174,339,0.101,310,52,58,0.0924,0.0867,0.0967,"ECM21","ExtraCellular Mutant"
89,"YBL100W-C","S000028598","chrII",28427,28546,120,8,420,24,101,388,0.859,38,0.317,10,39,62,0.0833,0.065,0.1033,,
90,"YBL099W","S000000195","chrII",37053,38690,1638,1,6,28,19,355,0.009,1616,0.987,111,51,66,0.0678,0.085,0.11,"ATP1","ATP synthase"
91,"YBL098W","S000000194","chrII",39145,40527,1383,18,220,17,12,225,0.289,259,0.187,142,71,72,0.1027,0.1183,0.12,"BNA4","Biosynthesis of Nicotinic Acid"
92,"YBL097W","S000000193","chrII",40831,43095,2265,1,21,15,11,229,0.01,2245,0.991,221,76,48,0.0976,0.1267,0.08,"BRN1","homolog of BaRreN"
93,"YBL095W","S000000191","chrII",43277,44089,813,12,132,5,6,234,0.315,246,0.303,61,56,49,0.075,0.0933,0.0817,"MRX3","Mitochondrial oRganization of gene eXpression (MIOREX)"
94,"YBL093C","S000000189","chrII",44256,44918,663,3,54,9,5,237,0.095,450,0.679,46,49,42,0.0694,0.0817,0.07,"ROX3","Regulation by OXygen"
95,"YBL092W","S000000188","chrII",45645,46370,726,1,5,5,15,240,0.029,720,0.992,63,50,61,0.0868,0.0833,0.1017,"RPL32","Ribosomal Protein of the Large subunit"
96,"YBL091C-A","S000007228","chrII",46565,47180,616,18,205,1,24,212,0.689,107,0.174,51,71,58,0.0828,0.1183,0.0967,"SCS22","Suppressor of Choline Sensitivity"
97,"YBL091C","S000000187","chrII",47363,48628,1266,14,246,25,3,210,0.263,314,0.248,102,55,54,0.0806,0.0917,0.09,"MAP2","Methionine AminoPeptidase"
98,"YBL090W","S000000186","chrII",48825,49358,534,1,3,3,10,215,0.044,283,0.53,46,52,55,0.0861,0.0867,0.0917,"MRP21","Mitochondrial Ribosomal Protein"
99,"YBL089W","S000000185","chrII",49574,50953,1380,13,177,6,13,264,0.178,484,0.351,128,60,65,0.0928,0.1,0.1083,"AVT5","Amino acid Vacuolar Transport"
100,"YBL088C","S000000184","chrII",51019,59382,8364,69,780,9,21,391,0.105,629,0.075,857,63,57,0.1025,0.105,0.095,"TEL1","TELomere maintenance"
101,"YBL087C","S000000183","chrII",59822,60739,918,23,339,22,48,311,0.403,152,0.166,88,64,57,0.0959,0.1067,0.095,"RPL23A","Ribosomal Protein of the Large subunit"
102,"YBL086C","S000000182","chrII",61202,62602,1401,12,67,50,30,354,0.121,325,0.232,104,62,55,0.0742,0.1033,0.0917,,
103,"YBL085W","S000000181","chrII",63876,66818,2943,30,358,53,4,380,0.134,286,0.097,265,54,73,0.09,0.09,0.1217,"BOI1","Bem1 (One) Interacting protein"
104,"YBL084C","S000000180","chrII",67169,69445,2277,2,11,6,9,371,0.012,2228,0.978,254,69,45,0.1116,0.115,0.075,"CDC27","Cell Division Cycle"
105,"YBL082C","S000000178","chrII",69751,71127,1377,10,246,7,38,365,0.099,476,0.346,89,54,51,0.0646,0.09,0.085,"ALG3","Asparagine Linked Glycosylation"
106,"YBL081W","S000000177","chrII",71866,72972,1107,19,231,34,3,291,0.295,176,0.159,72,57,71,0.065,0.095,0.1183,,
107,"YBL080C","S000000176","chrII",73070,74695,1626,7,27,16,25,273,0.079,672,0.413,144,58,65,0.0886,0.0967,0.1083,"PET112","PETite colonies"
108,"YBL079W","S000000175","chrII",75259,79767,4509,21,114,26,13,329,0.071,714,0.158,437,64,74,0.0969,0.1067,0.1233,"NUP170","NUclear Pore"
109,"YBL078C","S000000174","chrII",80378,80731,354,3,20,12,18,342,0.124,171,0.483,34,74,70,0.096,0.1233,0.1167,"ATG8","AuTophaGy related"
110,"YBL076C","S000000172","chrII",81043,84261,3219,3,66,21,12,421,0.011,1903,0.591,308,59,44,0.0957,0.0983,0.0733,"ILS1","IsoLeucine-tRNA Synthetase"
111,"YBL075C","S000000171","chrII",84499,86448,1950,28,408,1,18,393,0.183,274,0.141,171,52,59,0.0877,0.0867,0.0983,"SSA3","Stress-Seventy subfamily A"
112,"YBL074C","S000000170","chrII",86722,87789,1068,6,184,14,73,387,0.073,953,0.892,107,54,61,0.1002,0.09,0.1017,"AAR2","A1-Alpha2 Repression"
113,"YBL071C-B","S000028597","chrII",89458,89556,99,5,14,3,27,402,0.628,53,0.535,9,56,55,0.0909,0.0933,0.0917,,
114,"YBL071W-A","S000007587","chrII",89978,90226,249,7,87,32,19,415,0.339,107,0.43,19,57,60,0.0763,0.095,0.1,"KTI11","Kluveromyces lactis Toxin Insensitive"
115,"YBL069W","S000000165","chrII",90741,92030,1290,24,452,22,34,505,0.184,279,0.216,121,58,68,0.0938,0.0967,0.1133,"AST1","ATPase STabilizing"
116,"YBL068W","S000000164","chrII",92414,93394,981,16,137,33,12,502,0.162,237,0.242,98,66,70,0.0999,0.11,0.1167,"PRS4","PhosphoRibosylpyrophosphate Synthetase"
117,"YBL067C","S000000163","chrII",93639,95882,2244,18,136,13,33,523,0.077,524,0.234,229,60,67,0.102,0.1,0.1117,"UBP13","UBiquitin-specific Protease"
118,"YBL066C","S000000162","chrII",96669,100115,3447,62,788,34,31,562,0.16,335,0.097,310,76,60,0.0899,0.1267,0.1,"SEF1","Suppressor of Essential Function"
119,"YBL064C","S000000160","chrII",100371,101156,786,22,414,32,36,446,0.314,126,0.16,65,59,57,0.0827,0.0983,0.095,"PRX1","PeroxiRedoXin"
120,"YBL063W","S000000159","chrII",101886,105221,3336,31,691,43,13,509,0.091,436,0.131,359,54,63,0.1076,0.09,0.105,"KIP1","KInesin related Protein"
121,"YBL061C","S000000157","chrII",105316,107406,2091,19,207,6,46,513,0.089,534,0.255,208,61,56,0.0995,0.1017,0.0933,"SKT5",
122,"YBL060W","S000000156","chrII",107932,109995,2064,18,223,46,7,499,0.087,480,0.233,193,60,59,0.0935,0.1,0.0983,"YEL1","Yeast EFA6-Like"
123,"YBL059C-A","S000007488","chrII",110125,110539,415,1,1,7,14,465,0.026,363,0.875,38,71,54,0.0916,0.1183,0.09,"CMC2","Cx9C Motif-Containing protein"
124,"YBL059W","S000000155","chrII",110594,111244,651,16,140,7,30,441,0.279,139,0.214,64,59,49,0.0983,0.0983,0.0817,"IAI11","Interactor of AIm11"
125,"YBL058W","S000000154","chrII",111437,112708,1272,11,109,33,19,421,0.103,336,0.264,91,56,48,0.0715,0.0933,0.08,"SHP1","Suppressor of High-copy PP1"
126,"YBL057C","S000000153","chrII",112801,113427,627,15,181,11,24,371,0.322,177,0.282,45,45,41,0.0718,0.075,0.0683,"PTH2","Peptidyl-Trna Hydrolase"
127,"YBL056W","S000000152","chrII",113762,115168,1407,18,316,25,14,375,0.171,257,0.183,135,42,65,0.0959,0.07,0.1083,"PTC3","Phosphatase Two C"
128,"YBL055C","S000000151","chrII",115573,116829,1257,18,275,16,45,402,0.178,391,0.311,108,70,46,0.0859,0.1167,0.0767,,
129,"YBL054W","S000000150","chrII",117589,119166,1578,18,159,29,27,427,0.134,313,0.198,132,52,66,0.0837,0.0867,0.11,"TOD6","Twin Of Dot6p"
130,"YBL052C","S000000148","chrII",119379,121874,2496,14,165,25,14,393,0.071,666,0.267,240,62,58,0.0962,0.1033,0.0967,"SAS3","Something About Silencing"
131,"YBL051C","S000000147","chrII",122753,124759,2007,9,82,16,4,394,0.057,655,0.326,197,71,51,0.0982,0.1183,0.085,"PIN4","Psi+ INducibility"
132,"YBL050W","S000000146","chrII",125125,126119,995,0,0,6,40,384,0,995,1,108,58,49,0.1085,0.0967,0.0817,"SEC17","SECretory"
133,"YBL049W","S000000145","chrII",126828,127244,417,3,54,22,18,429,0.084,186,0.446,41,45,60,0.0983,0.075,0.1,"MOH1",
134,"YBL047C","S000000143","chrII",127895,132040,4146,45,632,19,23,562,0.097,642,0.155,334,61,60,0.0806,0.1017,0.1,"EDE1","EH Domains and Endocytosis"
135,"YBL046W","S000000142","chrII",132424,133749,1326,19,160,20,24,539,0.133,261,0.197,137,61,67,0.1033,0.1017,0.1117,"PSY4","Platinum SensitivitY"
136,"YBL045C","S000000141","chrII",134143,135516,1374,4,27,23,46,562,0.026,1201,0.874,111,71,42,0.0808,0.1183,0.07,"COR1","CORe protein of QH2 cytochrome c reductase"
137,"YBL044W","S000000140","chrII",135998,136366,369,46,1626,24,42,569,1.095,62,0.168,17,45,53,0.0461,0.075,0.0883,,
138,"YBL043W","S000000139","chrII",136688,137461,774,30,436,60,18,573,0.338,102,0.132,60,43,62,0.0775,0.0717,0.1033,"ECM13","ExtraCellular Mutant"
139,"YBL042C","S000000138","chrII",138341,140260,1920,42,628,28,56,577,0.19,247,0.129,151,66,36,0.0786,0.11,0.06,"FUI1","5-FlUorourIdine resistance"
140,"YBL041W","S000000137","chrII",141247,141972,726,0,0,60,9,590,0,726,1,62,41,61,0.0854,0.0683,0.1017,"PRE7","PRoteinase yscE"
141,"YBL040C","S000000136","chrII",142112,142868,757,2,183,7,21,584,0.023,745,0.984,74,57,53,0.0978,0.095,0.0883,"ERD2","Endoplasmic reticulum Retention Defective"
142,"YBL039W-B","S000028517","chrII",143393,143572,180,5,27,21,21,556,0.25,117,0.65,14,53,70,0.0778,0.0883,0.1167,"MIN6","mitochondrial MINi protein of ~6 kDa"
143,"YBL039C","S000000135","chrII",143989,145728,1740,31,371,22,9,554,0.161,167,0.096,130,72,65,0.0747,0.12,0.1083,"URA7","URAcil requiring"
144,"YBL038W","S000000134","chrII",146187,146885,699,0,0,12,45,490,0,699,1,76,56,65,0.1087,0.0933,0.1083,"MRPL16","Mitochondrial Ribosomal Protein, Large subunit"
145,"YBL037W","S000000133","chrII",147209,150286,3078,46,566,35,15,481,0.155,233,0.076,301,71,57,0.0978,0.1183,0.095,"APL3","clathrin Adaptor Protein complex Large chain"
146,"YBL036C","S000000132","chrII",150447,151220,774,11,89,12,28,391,0.182,252,0.326,74,64,61,0.0956,0.1067,0.1017,,
147,"YBL035C","S000000131","chrII",151493,153610,2118,2,18,31,13,376,0.013,1894,0.894,191,70,60,0.0902,0.1167,0.1,"POL12","POLymerase"
148,"YBL034C","S000000130","chrII",153848,158389,4542,8,33,12,19,578,0.015,1558,0.343,477,57,55,0.105,0.095,0.0917,"STU1","Suppressor of TUbulin"
149,"YBL033C","S000000129","chrII",158656,159693,1038,3,28,18,43,503,0.029,947,0.912,62,58,41,0.0597,0.0967,0.0683,"RIB1","RIBoflavin biosynthesis"
150,"YBL032W","S000000128","chrII",160184,161329,1146,18,204,38,29,541,0.145,545,0.476,95,40,69,0.0829,0.0667,0.115,"HEK2","HEterogeneous nuclear rnp K-like gene"
151,"YBL031W","S000000127","chrII",161699,162715,1017,25,262,25,13,529,0.232,142,0.14,93,72,69,0.0914,0.12,0.115,"SHE1","Sensitivity to High Expression"
152,"YBL030C","S000000126","chrII",163041,163997,957,3,16,22,39,542,0.029,633,0.661,79,67,61,0.0825,0.1117,0.1017,"PET9","PETite"
153,"YBL029C-A","S000007591","chrII",164488,164772,285,22,644,39,62,542,0.712,120,0.421,26,58,45,0.0912,0.0967,0.075,,
154,"YBL029W","S000000125","chrII",166134,167264,1131,47,1706,16,16,544,0.382,134,0.118,110,57,60,0.0973,0.095,0.1,,
155,"YBL028C","S000000124","chrII",167518,167838,321,6,359,36,44,547,0.171,131,0.408,27,57,61,0.0841,0.095,0.1017,,
156,"YBL027W","S000000123","chrII",168423,169376,954,10,33,44,27,556,0.094,291,0.305,96,60,57,0.1006,0.1,0.095,"RPL19B","Ribosomal Protein of the Large subunit"
157,"YBL026W","S000000122","chrII",170623,171038,416,2,9,24,19,492,0.049,395,0.95,44,60,64,0.1058,0.1,0.1067,"LSM2","Like SM"
158,"YBL025W","S000000121","chrII",171481,171918,438,0,0,21,30,489,0,438,1,42,66,55,0.0959,0.11,0.0917,"RRN10","Regulation of RNA polymerase I"
159,"YBL024W","S000000120","chrII",172534,174588,2055,29,414,30,5,486,0.145,377,0.183,198,56,76,0.0964,0.0933,0.1267,"NCL1","NuCLear protein"
160,"YBL023C","S000000119","chrII",174920,177526,2607,1,1,12,8,431,0.004,1948,0.747,232,68,65,0.089,0.1133,0.1083,"MCM2","MiniChromosome Maintenance"
161,"YBL022C","S000000118","chrII",177874,181275,3402,19,101,4,7,315,0.089,372,0.109,301,60,47,0.0885,0.1,0.0783,"PIM1","Proteolysis In Mitochondria"
162,"YBL021C","S000000117","chrII",181660,182094,435,8,36,7,5,222,0.414,223,0.513,36,47,45,0.0828,0.0783,0.075,"HAP3","Heme Activator Protein"
