,Standard name,Sc∆ essentiality,Sp∆ essentiality,Final usage in training,Unnamed: 0,id,chrom,start,end,Length,Hits,Reads,Hits_600_bp_upstream,Hits_600_bp_downstream,Neighbourhood Hits,Neighbourhood Index,Max Free Region,Freedom Index,target_seq_counts,600_bp_up_target_seq_counts,600_bp_down_target_seq_counts,target_per_bp,600_up_target_per_bp,600_down_target_per_bp,short name,description
14,S000002895,Ess,Ess,Essential,1528,YDR487C,chrIV,1428354,1428980,627,0,0,9,41,482,0.0,627,1.0,53,67,38,0.0845,0.1117,0.0633,RIB3,RIBoflavin biosynthesis
15,S000004881,Ess,Ess,Essential,4960,YMR268C,chrXIII,802888,804222,1335,3,20,4,0,412,0.027000000000000003,1235,0.925,127,58,66,0.0951,0.0967,0.11,PRP24,Pre-mRNA Processing
16,S000006259,Ess,Ess,Essential,6412,YPR055W,chrXVI,667676,670873,3198,17,120,13,1,538,0.049,1820,0.569,346,57,67,0.1082,0.095,0.1117,SEC8,SECretory
17,S000004401,Ess,Ess,Essential,4459,YLR409C,chrXII,934414,937233,2820,2,6,48,8,442,0.008,2813,0.998,270,73,66,0.0957,0.1217,0.11,UTP21,U Three Protein
18,S000001340,Ess,Ess,Essential,3060,YIL078W,chrIX,212499,214703,2205,3,24,23,41,357,0.019,1913,0.868,209,60,56,0.0948,0.1,0.0933,THS1,THreonyl tRNA Synthetase
19,S000001345,Ess,Ess,Essential,3057,YIL083C,chrIX,203556,204653,1098,2,10,9,27,326,0.027999999999999997,1091,0.9940000000000001,98,67,61,0.0893,0.1117,0.1017,CAB2,Coenzyme A Biosynthesis
20,S000005133,Ess,Ess,Essential,5182,YNL189W,chrXIV,284260,285888,1629,0,0,20,9,513,0.0,1629,1.0,140,62,58,0.0859,0.1033,0.0967,SRP1,Suppressor of Rna Polymerase I
21,S000003730,Ess,Ess,Essential,3234,YJL194W,chrX,69338,70879,1542,1,1,62,44,669,0.005,846,0.5489999999999999,137,54,55,0.0888,0.09,0.0917,CDC6,Cell Division Cycle
22,S000003292,Ess,Ess,Essential,2389,YGR060W,chrVII,610564,611493,930,0,0,27,27,558,0.0,930,1.0,82,33,77,0.0882,0.055,0.1283,ERG25,ERGosterol biosynthesis
23,S000005820,Ess,Ess,Essential,5949,YOR294W,chrXV,868340,868951,612,1,10,29,7,467,0.017,539,0.8809999999999999,52,64,65,0.085,0.1067,0.1083,RRS1,Regulator of Ribosome Synthesis
24,S000003617,Ess,Ess,Essential,3350,YJL081C,chrX,283802,285271,1470,0,0,17,16,679,0.0,1470,1.0,124,68,64,0.0844,0.1133,0.1067,ARP4,Actin-Related Protein
25,S000000406,Ess,Ess,Essential,465,YBR202W,chrII,625772,628309,2538,11,297,55,38,418,0.052000000000000005,2415,0.9520000000000001,206,47,59,0.0812,0.0783,0.0983,MCM7,MiniChromosome Maintenance
26,S000000402,Ess,Ess,Essential,459,YBR198C,chrII,616127,618523,2397,2,61,26,23,451,0.009000000000000001,2388,0.996,203,30,49,0.0847,0.05,0.0817,TAF5,TATA binding protein-Associated Factor
27,S000000400,Ess,Ess,Essential,455,YBR196C,chrII,612236,613900,1665,2,5,29,40,478,0.013000000000000001,1561,0.938,127,72,55,0.0763,0.12,0.0917,PGI1,PhosphoGlucoIsomerase
28,S000003478,Ess,Ess,Essential,2584,YGR246C,chrVII,982482,984272,1791,0,0,15,33,700,0.0,1791,1.0,156,59,64,0.0871,0.0983,0.1067,BRF1,B-Related Factor
29,S000003510,Ess,Ess,Essential,2617,YGR278W,chrVII,1046731,1048464,1734,6,88,0,26,405,0.043,849,0.49,170,62,55,0.098,0.1033,0.0917,CWC22,Complexed With Cef1p
30,S000003041,Ess,Ess,Essential,2250,YGL073W,chrVII,368753,371254,2502,44,907,8,27,403,0.218,1587,0.634,231,41,47,0.0923,0.0683,0.0783,HSF1,Heat Shock transcription Factor
31,S000001655,Ess,Ess,Essential,3650,YKL172W,chrXI,125759,127042,1284,4,39,10,51,368,0.042,958,0.746,109,65,41,0.0849,0.1083,0.0683,EBP2,EBNA1-binding protein (homolog)
32,S000001656,Ess,Ess,Essential,3649,YKL173W,chrXI,122517,125543,3027,4,37,5,6,405,0.016,2805,0.927,285,57,70,0.0942,0.095,0.1167,SNU114,Small NUclear ribonucleoprotein associated
33,S000005318,Ess,Ess,Essential,5420,YNR035C,chrXIV,693019,694047,1029,1,5,11,20,458,0.011000000000000001,1026,0.997,86,57,63,0.0836,0.095,0.105,ARC35,ARp2/3 Complex subunit
34,S000000193,Ess,Ess,Essential,136,YBL097W,chrII,40831,43095,2265,1,21,15,11,229,0.01,2245,0.991,221,76,48,0.0976,0.1267,0.08,BRN1,homolog of BaRreN
35,S000005583,Ess,Ess,Essential,5703,YOR057W,chrXV,432186,433373,1188,1,1,5,21,489,0.009000000000000001,1150,0.968,135,57,70,0.1136,0.095,0.1167,SGT1,Suppressor of G2 (Two) allele of skp1
36,S000000605,Ess,Ess,Essential,654,YCR012W,chrIII,137746,138996,1251,3,31,14,14,453,0.026000000000000002,1179,0.9420000000000001,101,55,62,0.0807,0.0917,0.1033,PGK1,3-PhosphoGlycerate Kinase
37,S000004873,Ess,Ess,Essential,4952,YMR260C,chrXIII,789378,789839,462,0,0,13,13,335,0.0,462,1.0,47,73,68,0.1017,0.1217,0.1133,TIF11,Translation Initiation Factor
38,S000004477,Ess,Ess,Essential,4651,YML015C,chrXIII,241989,243029,1041,1,1,31,9,452,0.011000000000000001,959,0.9209999999999999,92,72,49,0.0884,0.12,0.0817,TAF11,TATA binding protein-Associated Factor
39,S000004470,Ess,Ess,Essential,4657,YML010W,chrXIII,247677,250868,3192,12,222,38,28,637,0.03,2364,0.741,278,67,67,0.0871,0.1117,0.1117,SPT5,SuPpressor of Ty's
40,S000001627,Ess,Ess,Essential,3681,YKL144C,chrXI,175843,176481,639,1,6,2,10,646,0.012,637,0.997,53,62,65,0.0829,0.1033,0.1083,RPC25,RNA Polymerase C
41,S000003853,Ess,Ess,Essential,3523,YJR093C,chrX,603220,604203,984,7,29,8,27,594,0.06,740,0.752,77,65,75,0.0783,0.1083,0.125,FIP1,Factor Interacting with Poly(A) polymerase
42,S000001628,Ess,Ess,Essential,3679,YKL145W,chrXI,174213,175616,1404,0,0,29,3,702,0.0,1404,1.0,113,59,56,0.0805,0.0983,0.0933,RPT1,"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
43,S000005005,Ess,Ess,Essential,5320,YNL061W,chrXIV,510540,512396,1857,7,115,4,9,681,0.027999999999999997,1673,0.9009999999999999,165,63,73,0.0889,0.105,0.1217,NOP2,NucleOlar Protein
44,S000005122,Ess,Ess,Essential,5193,YNL178W,chrXIV,302680,303402,723,1,30,80,15,497,0.013999999999999999,678,0.938,43,55,61,0.0595,0.0917,0.1017,RPS3,Ribosomal Protein of the Small subunit
45,S000005126,Ess,Ess,Essential,5189,YNL182C,chrXIV,295960,297627,1668,0,0,31,1,533,0.0,1668,1.0,157,58,57,0.0941,0.0967,0.095,IPI3,Involved in Processing ITS2
46,S000005125,Ess,Ess,Essential,5190,YNL181W,chrXIV,298335,299558,1224,3,16,1,10,545,0.022000000000000002,1147,0.937,113,53,46,0.0923,0.0883,0.0767,PBR1,Potentiates Bioactive compound Response
47,S000006341,Ess,Ess,Essential,6496,YPR137W,chrXVI,802359,804080,1722,2,2,20,18,398,0.015,1208,0.7020000000000001,151,64,71,0.0877,0.1067,0.1183,RRP9,Ribosomal RNA Processing
48,S000006347,Ess,Ess,Essential,6502,YPR143W,chrXVI,818323,819075,753,2,5,5,31,713,0.019,610,0.81,59,63,70,0.0784,0.105,0.1167,RRP15,Ribosomal RNA Processing
49,S000006348,Ess,Ess,Essential,6503,YPR144C,chrXVI,819765,821423,1659,1,4,39,43,943,0.003,1552,0.9359999999999999,168,77,67,0.1013,0.1283,0.1117,NOC4,NucleOlar Complex associated
50,S000005837,Ess,Ess,Essential,5967,YOR310C,chrXV,896825,898360,1536,4,63,28,16,617,0.021,1238,0.8059999999999999,129,77,69,0.084,0.1283,0.115,NOP58,NucleOlar Protein of 58 kDa
51,S000005770,Ess,Ess,Essential,5898,YOR244W,chrXV,792531,793868,1338,2,36,5,10,406,0.018000000000000002,1274,0.9520000000000001,111,64,65,0.083,0.1067,0.1083,ESA1,
52,S000004596,Ess,Ess,Essential,4532,YML127W,chrXIII,17064,18809,1746,5,164,7,5,433,0.033,1688,0.9670000000000001,160,49,76,0.0916,0.0817,0.1267,RSC9,Remodel the Structure of Chromatin
53,S000003407,Ess,Ess,Essential,2511,YGR175C,chrVII,846933,848423,1491,0,0,33,48,581,0.0,1491,1.0,128,67,43,0.0858,0.1117,0.0717,ERG1,ERGosterol biosynthesis
54,S000003404,Ess,Ess,Essential,2507,YGR172C,chrVII,842845,843591,747,1,13,14,17,432,0.015,450,0.602,78,63,53,0.1044,0.105,0.0883,YIP1,Ypt-Interacting Protein
55,S000005775,Ess,Ess,Essential,5903,YOR249C,chrXV,798674,800731,2058,4,53,20,1,350,0.027999999999999997,2036,0.9890000000000001,237,57,62,0.1152,0.095,0.1033,APC5,Anaphase Promoting Complex
56,S000003088,Ess,Ess,Essential,2203,YGL120C,chrVII,281634,283937,2304,3,49,37,32,705,0.009000000000000001,2168,0.941,203,55,66,0.0881,0.0917,0.11,PRP43,Pre-mRNA Processing
57,S000003084,Ess,Ess,Essential,2207,YGL116W,chrVII,289809,291641,1833,6,41,34,14,430,0.038,1315,0.7170000000000001,164,57,63,0.0895,0.095,0.105,CDC20,Cell Division Cycle
58,S000000215,Ess,Ess,Essential,253,YBR011C,chrII,257112,257975,864,1,8,29,20,575,0.01,848,0.981,76,68,56,0.08800000000000001,0.1133,0.0933,IPP1,Inorganic PyroPhosphatase
59,S000000564,Ess,Ess,Essential,583,YCL059C,chrIII,22429,23379,951,3,48,21,7,389,0.040999999999999995,926,0.9740000000000001,88,60,55,0.0925,0.1,0.0917,KRR1,contains KRR-R motif
60,S000000032,Ess,Ess,Essential,45,YAL034W-A,chrI,79718,80587,870,3,45,5,19,359,0.048,785,0.902,88,60,61,0.1011,0.1,0.1017,MTW1,Mis TWelve-like
61,S000000030,Ess,Ess,Essential,48,YAL032C,chrI,83335,84474,1140,12,198,3,10,318,0.166,609,0.534,85,56,48,0.0746,0.0933,0.08,PRP45,Pre-mRNA Processing
62,S000000031,Ess,Ess,Essential,47,YAL033W,chrI,82706,83227,522,1,12,11,12,308,0.031,458,0.877,51,44,45,0.0977,0.0733,0.075,POP5,Processing Of Precursor RNAs
63,S000000036,Ess,Ess,Essential,38,YAL038W,chrI,71786,73288,1503,0,0,33,21,532,0.0,1503,1.0,135,59,72,0.0898,0.0983,0.12,CDC19,Cell Division Cycle
64,S000006379,Ess,Ess,Essential,6541,YPR175W,chrXVI,888974,891043,2070,3,8,10,0,253,0.028999999999999998,786,0.38,197,54,50,0.0952,0.09,0.0833,DPB2,DNA Polymerase B subunit 2
65,S000006373,Ess,Ess,Essential,6532,YPR169W,chrXVI,878690,880168,1479,7,224,9,15,337,0.07,1188,0.8029999999999999,138,63,61,0.0933,0.105,0.1017,JIP5,Jumonji domain Interacting Protein
66,S000005337,Ess,Ess,Essential,5439,YNR054C,chrXIV,723356,724306,951,13,407,9,12,541,0.126,601,0.632,76,55,70,0.0799,0.0917,0.1167,ESF2,Eighteen S rRNA Factor 2
67,S000001324,Ess,Ess,Essential,3079,YIL062C,chrIX,243998,244462,465,1,10,31,8,799,0.013000000000000001,386,0.83,30,58,38,0.0645,0.0967,0.0633,ARC15,ARp2/3 Complex subunit
68,S000001323,Ess,Ess,Essential,3080,YIL061C,chrIX,244657,245559,903,3,30,6,37,926,0.018000000000000002,753,0.8340000000000001,79,40,74,0.0875,0.0667,0.1233,SNP1,
69,S000002300,Ess,Ess,Essential,870,YDL141W,chrIV,203039,205111,2073,1,1,27,11,305,0.008,1105,0.5329999999999999,194,56,51,0.0936,0.0933,0.085,BPL1,Biotin:apoProtein Ligase
70,S000005151,Ess,Ess,Essential,5164,YNL207W,chrXIV,255353,256630,1278,1,12,33,16,501,0.008,1126,0.8809999999999999,139,55,57,0.1088,0.0917,0.095,RIO2,RIght Open reading frame
71,S000002651,Ess,Ess,Essential,1272,YDR243C,chrIV,948518,950284,1767,0,0,8,29,465,0.0,1767,1.0,172,63,69,0.0973,0.105,0.115,PRP28,Pre-mRNA Processing
72,S000005804,Ess,Ess,Essential,5932,YOR278W,chrXV,842817,843644,828,6,34,61,6,673,0.054000000000000006,700,0.845,81,58,51,0.0978,0.0967,0.085,HEM4,HEMe biosynthesis
73,S000003679,Ess,Ess,Essential,3286,YJL143W,chrX,147101,147577,477,1,182,33,16,572,0.018000000000000002,447,0.937,24,61,63,0.0503,0.1017,0.105,TIM17,Translocase of the Inner Mitochondrial membrane
74,S000002420,Ess,Ess,Essential,1032,YDR013W,chrIV,473157,473783,627,0,0,12,12,652,0.0,627,1.0,72,57,63,0.1148,0.095,0.105,PSF1,Partner of Sld Five
75,S000002784,Ess,Ess,Essential,1413,YDR376W,chrIV,1226822,1228303,1482,8,214,15,17,442,0.061,1377,0.929,140,50,59,0.0945,0.0833,0.0983,ARH1,Adrenodoxin Reductase Homolog
76,S000003096,Ess,Ess,Essential,2194,YGL128C,chrVII,269293,270144,852,7,166,15,17,574,0.07200000000000001,494,0.58,66,61,63,0.0775,0.1017,0.105,CWC23,Complexed With Cef1p
77,S000005506,Ess,Ess,Essential,5487,YOL146W,chrXV,48864,49448,585,0,0,22,12,353,0.0,585,1.0,59,59,58,0.1009,0.0983,0.0967,PSF3,Partner of Sld Five
78,S000000208,Ess,Ess,Essential,246,YBR004C,chrII,244366,245667,1302,0,0,11,10,923,0.0,1302,1.0,129,56,54,0.0991,0.0933,0.09,GPI18,GlycosylPhosphatidylInositol
79,S000006132,Ess,Ess,Essential,6136,YPL211W,chrXVI,153495,154040,546,1,1,2,9,328,0.027999999999999997,532,0.9740000000000001,49,53,60,0.0897,0.0883,0.1,NIP7,Nuclear ImPort
80,S000006158,Ess,Ess,Essential,6109,YPL237W,chrXVI,100496,101353,858,0,0,22,9,376,0.0,858,1.0,75,52,56,0.0874,0.0867,0.0933,SUI3,SUppressor of Initiator codon
81,S000000689,Ess,Ess,Essential,739,YCR093W,chrIII,280117,286443,6327,7,55,16,12,364,0.015,5527,0.8740000000000001,642,57,65,0.1015,0.095,0.1083,CDC39,Cell Division Cycle
82,S000006156,Ess,Ess,Essential,6111,YPL235W,chrXVI,103232,104647,1416,1,2,8,7,406,0.009000000000000001,1396,0.986,139,51,59,0.0982,0.085,0.0983,RVB2,RuVB-like
83,S000006154,Ess,Ess,Essential,6113,YPL233W,chrXVI,106172,106822,651,2,49,28,60,457,0.034,503,0.773,45,54,52,0.0691,0.09,0.0867,NSL1,Nnf1 Synthetic Lethal
84,S000006152,Ess,Ess,Essential,6115,YPL231W,chrXVI,108652,114315,5664,0,0,25,56,512,0.0,5664,1.0,486,60,33,0.0858,0.1,0.055,FAS2,Fatty Acid Synthetase
85,S000002837,Ess,Ess,Essential,1469,YDR429C,chrIV,1324477,1325301,825,2,55,10,19,414,0.028999999999999998,805,0.976,67,63,53,0.0812,0.105,0.0883,TIF35,Translation Initiation Factor
86,S000005720,Ess,Ess,Essential,5848,YOR194C,chrXV,711683,712543,861,1,10,9,7,282,0.021,858,0.997,77,62,49,0.0894,0.1033,0.0817,TOA1,
87,S000003098,Ess,Ess,Essential,2192,YGL130W,chrVII,266145,267524,1380,0,0,7,11,620,0.0,1380,1.0,123,54,65,0.0891,0.09,0.1083,CEG1,Capping Enzyme Guanylyltransferase
88,S000000023,Ess,Ess,Essential,57,YAL025C,chrI,100225,101145,921,0,0,5,15,258,0.0,921,1.0,72,51,78,0.0782,0.085,0.13,MAK16,MAintenance of Killer
89,S000004852,Ess,Ess,Essential,4929,YMR239C,chrXIII,748262,749677,1416,0,0,23,12,565,0.0,1416,1.0,141,67,59,0.0996,0.1117,0.0983,RNT1,RNase Three
90,S000004853,Ess,Ess,Essential,4930,YMR240C,chrXIII,749930,751240,1311,10,103,3,36,638,0.06,945,0.721,106,66,64,0.0809,0.11,0.1067,CUS1,Cold sensitive U2 snRNA Suppressor
91,S000004328,Ess,Ess,Essential,4379,YLR336C,chrXII,799697,802396,2700,1,1,3,9,703,0.003,2694,0.998,275,50,58,0.1019,0.0833,0.0967,SGD1,Suppressor of Glycerol Defect
92,S000005321,Ess,Ess,Essential,5423,YNR038W,chrXIV,695595,697484,1890,3,21,7,18,515,0.015,1622,0.858,185,55,69,0.0979,0.0917,0.115,DBP6,Dead Box Protein
93,S000001313,Ess,Ess,Essential,3090,YIL051C,chrIX,257843,258280,438,5,18,32,93,940,0.061,158,0.361,44,51,60,0.1005,0.085,0.1,MMF1,Mitochondrial Matrix Factor
94,S000006309,Ess,Ess,Essential,6462,YPR105C,chrXVI,736984,739569,2586,3,17,16,17,288,0.02,1315,0.509,259,62,57,0.1002,0.1033,0.095,COG4,Conserved Oligomeric Golgi complex
95,S000001794,Ess,Ess,Essential,3924,YKR086W,chrXI,599857,603072,3216,13,105,1,15,444,0.046,1798,0.5589999999999999,321,48,69,0.0998,0.08,0.115,PRP16,Pre-mRNA Processing
96,S000006365,Ess,Ess,Essential,6524,YPR161C,chrXVI,864449,866422,1974,7,31,36,23,409,0.043,1383,0.701,174,61,61,0.0881,0.1017,0.1017,SGV1,Suppressor of Gpa1-Val50 mutation
97,S000006366,Ess,Ess,Essential,6525,YPR162C,chrXVI,866715,868304,1590,1,15,26,6,415,0.008,1564,0.9840000000000001,152,65,76,0.0956,0.1083,0.1267,ORC4,Origin Recognition Complex
98,S000004513,Ess,Ess,Essential,4619,YML049C,chrXIII,174220,178305,4086,4,73,11,14,612,0.008,3972,0.972,400,62,50,0.0979,0.1033,0.0833,RSE1,RNA Splicing and ER-to-Golgi transport
99,S000003640,Ess,Ess,Essential,3327,YJL104W,chrX,227327,227776,450,4,99,10,70,671,0.066,401,0.8909999999999999,40,80,64,0.0889,0.1333,0.1067,PAM16,Presequence translocase-Associated Motor
100,S000003645,Ess,Ess,Essential,3322,YJL109C,chrX,212000,217309,5310,6,20,19,22,535,0.011000000000000001,3127,0.589,592,55,67,0.1115,0.0917,0.1117,UTP10,U Three Protein
101,S000003647,Ess,Ess,Essential,3320,YJL111W,chrX,207877,209529,1653,0,0,25,18,241,0.0,1653,1.0,160,65,68,0.0968,0.1083,0.1133,CCT7,Chaperonin Containing TCP-1
102,S000006149,Ess,Ess,Essential,6118,YPL228W,chrXVI,118382,120031,1650,0,0,33,9,436,0.0,1650,1.0,172,67,78,0.1042,0.1117,0.13,CET1,Capping Enzyme Triphosphatase
103,S000003774,Ess,Ess,Essential,3448,YJR013W,chrX,460382,461593,1212,3,25,14,35,677,0.018000000000000002,724,0.597,120,67,54,0.099,0.1117,0.09,GPI14,GlycosylPhosphatidylInositol anchor biosynthesis
104,S000005629,Ess,Ess,Essential,5751,YOR103C,chrXV,516449,516841,393,0,0,14,33,684,0.0,393,1.0,42,53,52,0.1069,0.0883,0.0867,OST2,OligoSaccharylTransferase
105,S000002604,Ess,Ess,Essential,1225,YDR196C,chrIV,850274,850999,726,0,0,11,5,271,0.0,726,1.0,73,56,63,0.1006,0.0933,0.105,CAB5,
106,S000000233,Ess,Ess,Essential,271,YBR029C,chrII,296369,297742,1374,2,6,27,50,753,0.01,1208,0.879,132,67,68,0.0961,0.1117,0.1133,CDS1,CDP-Diacylglycerol Synthase
107,S000002325,Ess,Ess,Essential,842,YDL166C,chrIV,163449,164042,594,1,7,28,0,396,0.021,594,1.0,49,69,62,0.0825,0.115,0.1033,FAP7,Factor Activating Pos9
108,S000002897,Ess,Ess,Essential,1530,YDR489W,chrIV,1431012,1431896,885,1,1,8,23,381,0.015,667,0.754,78,34,58,0.0881,0.0567,0.0967,SLD5,Synthetic Lethality with Dpb11-1
109,S000001406,Ess,Ess,Essential,2990,YIL144W,chrIX,78074,80149,2076,1,2,6,12,247,0.01,2022,0.9740000000000001,241,54,62,0.1161,0.09,0.1033,NDC80,Nuclear Division Cycle
110,S000004849,Ess,Ess,Essential,4926,YMR236W,chrXIII,742971,743444,474,3,14,0,35,321,0.099,407,0.8590000000000001,29,57,46,0.0612,0.095,0.0767,TAF9,TATA binding protein-Associated Factor
111,S000004848,Ess,Ess,Essential,4925,YMR235C,chrXIII,741512,742735,1224,0,0,7,0,343,0.0,1224,1.0,119,60,50,0.0972,0.1,0.0833,RNA1,rapid cessation of net RNA accumulation
112,S000004842,Ess,Ess,Essential,4918,YMR229C,chrXIII,725934,731123,5190,7,110,5,21,294,0.023,3912,0.754,526,74,75,0.1013,0.1233,0.125,RRP5,Ribosomal RNA Processing
113,S000004840,Ess,Ess,Essential,4916,YMR227C,chrXIII,722613,724385,1773,6,98,20,1,278,0.061,1208,0.6809999999999999,145,53,68,0.0818,0.0883,0.1133,TAF7,TATA binding protein-Associated Factor
114,S000004332,Ess,Ess,Essential,4383,YLR340W,chrXII,805887,806825,939,1,15,24,24,427,0.012,849,0.904,72,73,60,0.0767,0.1217,0.1,RPP0,Ribosomal Protein P0
115,S000004339,Ess,Ess,Essential,4391,YLR347C,chrXII,823828,826413,2586,1,10,13,46,820,0.002,2445,0.945,215,56,54,0.0831,0.0933,0.09,KAP95,KAryoPherin
116,S000001308,Ess,Ess,Essential,3097,YIL046W,chrIX,268651,270573,1923,2,19,120,29,607,0.009000000000000001,1918,0.997,139,48,60,0.0723,0.08,0.1,MET30,METhionine requiring
117,S000005798,Ess,Ess,Essential,5926,YOR272W,chrXV,832813,834195,1383,0,0,58,19,755,0.0,1383,1.0,118,50,61,0.0853,0.0833,0.1017,YTM1,
118,S000001787,Ess,Ess,Essential,3917,YKR079C,chrXI,586789,589305,2517,0,0,5,45,535,0.0,2517,1.0,253,72,54,0.1005,0.12,0.09,TRZ1,tRNase Z
119,S000001789,Ess,Ess,Essential,3919,YKR081C,chrXI,591506,592540,1035,4,29,10,12,329,0.059000000000000004,882,0.852,104,68,59,0.1005,0.1133,0.0983,RPF2,Ribosome Production Factor
120,S000002868,Ess,Ess,Essential,1500,YDR460W,chrIV,1383811,1384776,966,2,3,6,72,306,0.034,735,0.7609999999999999,89,46,51,0.0921,0.0767,0.085,TFB3,Transcription Factor B subunit 3
121,S000003169,Ess,Ess,Essential,2119,YGL201C,chrVII,117854,120907,3054,1,10,15,13,582,0.003,3042,0.996,285,57,55,0.0933,0.095,0.0917,MCM6,MiniChromosome Maintenance
122,S000002654,Ess,Ess,Essential,1275,YDR246W,chrIV,954288,954947,660,4,80,18,99,499,0.061,642,0.973,53,55,39,0.0803,0.0917,0.065,TRS23,TRapp Subunit
123,S000001877,Ess,Ess,Essential,1969,YFL017C,chrVI,103983,104462,480,0,0,28,8,634,0.0,480,1.0,42,57,50,0.0875,0.095,0.0833,GNA1,GlucosamiNe-6-phosphate Acetyltransferase
124,S000001870,Ess,Ess,Essential,1960,YFL024C,chrVI,87847,90345,2499,7,86,30,16,593,0.024,2134,0.8540000000000001,220,67,50,0.08800000000000001,0.1117,0.0833,EPL1,Enhancer of Polycomb Like
125,S000001872,Ess,Ess,Essential,1962,YFL022C,chrVI,93499,95010,1512,0,0,22,57,485,0.0,1512,1.0,122,53,51,0.0807,0.0883,0.085,FRS2,phenylalanyl (F)-tRNA Synthetase
126,S000004061,Ess,Ess,Essential,4087,YLR071C,chrXII,275378,278626,3249,4,32,26,7,324,0.019,2127,0.655,336,52,45,0.1034,0.0867,0.075,RGR1,Resistant to Glucose Repression
127,S000000003,Ess,Ess,Essential,81,YAL003W,chrI,142174,143160,987,0,0,34,37,414,0.0,987,1.0,86,54,75,0.0871,0.09,0.125,EFB1,Elongation Factor Beta
128,S000000001,Ess,Ess,Essential,83,YAL001C,chrI,147594,151166,3573,6,103,25,18,488,0.017,2873,0.804,349,69,74,0.0977,0.115,0.1233,TFC3,Transcription Factor class C
129,S000002881,Ess,Ess,Essential,1515,YDR473C,chrIV,1404445,1405854,1410,1,6,9,7,528,0.006999999999999999,1195,0.848,143,62,64,0.1014,0.1033,0.1067,PRP3,Pre-mRNA Processing
130,S000002880,Ess,Ess,Essential,1514,YDR472W,chrIV,1403322,1404173,852,0,0,46,9,523,0.0,852,1.0,75,68,81,0.08800000000000001,0.1133,0.135,TRS31,TRapp Subunit
131,S000002886,Ess,Ess,Essential,1519,YDR478W,chrIV,1414575,1415171,597,0,0,6,11,555,0.0,597,1.0,51,73,54,0.0854,0.1217,0.09,SNM1,Suppressor of Nuclear Mitochondrial endoribonuclease
