,Unnamed: 0_x,Standard name,Common name,Hits,Reads,Length,Neighborhood index,100 bp upstream hits,Max free region,Freedom index,Logit FI,Kornmann FI,Type,Description,Unnamed: 0_y,id,chrom,start,end,target_seq_counts,500bp_up_target_seq_counts,500bp_down_target_seq_counts,length,target_per_bp,up_target_per_bp,down_target_per_bp,hits_per_targets,freq_hit_targets,short name,description
10,19,S000001605,SRP21,2,7,504,0.106572948328,0,355,0.704365079365,0.672209988832,0,ORF,"Subunit of the signal recognition particle (SRP); SRP functions in protein targeting to the endoplasmic reticulum membrane; not found in mammalian SRP; forms a pre-SRP structure in the nucleolus that is translocated to the cytoplasm
",3704,YKL122C,chrXI,212495,212998,42,57,52,504,0.083333333333333,0.114,0.104,0.047619047619048,0.002537451150667,SRP21,Signal Recognition Particle
11,20,S000001354,,13,84,1902,0.324502915591,0,683,0.359095688749,0.359095674177,0.163930312938,ORF,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus
",3048,YIL092W,chrIX,189066,190967,188,43,59,1902,0.098843322818086,0.086,0.118,0.069148936170213,0.00172607933825,,
12,21,S000005611,OST3,10,134,1053,0.251215493381,3,332,0.315289648623,0.315227405405,0.237636677923,ORF,"Gamma subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins
",5734,YOR085W,chrXV,482033,483085,95,31,35,1053,0.090218423551757,0.062,0.07,0.105263157894737,0.002644373614537,OST3,OligoSaccharylTransferase
13,22,S000001608,RRN3,2,19,1884,0.0283372544519,0,1823,0.967622080679,0.96762203367,0,ORF,"Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo
",3701,YKL125W,chrXI,208247,210130,184,52,64,1884,0.097664543524416,0.104,0.128,0.010869565217391,0.000154006817673,RRN3,Regulation of RNA polymerase I
14,23,S000001609,YPK1,2,11,2043,0.0261408029258,0,1721,0.842388644151,0.842388635805,0,ORF,"S/T protein kinase; phosphorylates, downregulates flippase activator Fpk1p; inactivates Orm1p and Orm2p by phosphorylation in response to compromised sphingolipid synthesis; involved in the TORC-dependent phosphorylation of ribosomal proteins Rps6a/b (S6); mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; human homolog SGK1 can complement a null mutant; human homolog SGK2 can complement a ypk1 ypk2 double mutant
",3700,YKL126W,chrXI,205707,207749,187,54,52,2043,0.091532060695056,0.108,0.104,0.010695187165775,0.000139790389978,YPK1,Yeast Protein Kinase
15,24,S000002489,STN1,2,15,1485,0.0382858317131,0,1460,0.983164983165,0.983162401255,0,ORF,"Telomere end-binding and capping protein; plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping; similar to human Stn1
",1105,YDR082W,chrIV,610441,611925,144,47,49,1485,0.096969696969697,0.094,0.098,0.013888888888889,0.000265873831341,STN1,Suppressor of cdc ThirteeN
16,26,S000001352,ICE2,0,0,1476,0,1,1476,1,0.999997126566,0,ORF,"Integral ER membrane protein with type-III transmembrane domains; required for maintenance of ER zinc homeostasis; necessary for efficient targeting of Trm1p tRNA methyltransferase to inner nuclear membrane; mutations cause defects in cortical ER morphology in both the mother and daughter cells
",3050,YIL090W,chrIX,193595,195070,155,29,55,1476,0.105013550135501,0.058,0.11,0,0,ICE2,Inheritance of Cortical ER
17,27,S000005610,LPX1,24,331,1164,0.537628865979,3,178,0.152920962199,0.152911011813,0.305796343475,ORF,"Peroxisomal matrix-localized lipase; required for normal peroxisome morphology; contains a peroxisomal targeting signal type 1 (PTS1) and a lipase motif; peroxisomal import requires the PTS1 receptor, Pex5p and self-interaction; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance; oleic acid inducible
",5733,YOR084W,chrXV,480587,481750,81,31,31,1164,0.069587628865979,0.062,0.062,0.296296296296296,0.006637393407148,LPX1,Lipase of PeroXisomes
18,28,S000003562,RRN7,1,1,1545,0.0263845637174,0,1452,0.939805825243,0.93980447075,0,ORF,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p
",3411,YJL025W,chrX,393967,395511,129,61,59,1545,0.083495145631068,0.122,0.118,0.007751937984496,0.000204531501685,RRN7,Regulation of RNA polymerase I
19,29,S000005613,YVC1,17,215,2028,0.177208204311,1,253,0.124753451677,0.124753450241,0.144447063252,ORF,"Vacuolar cation channel; mediates release of Ca(2+) from the vacuole in response to hyperosmotic shock
",5736,YOR087W,chrXV,487707,489734,191,50,70,2028,0.094181459566075,0.1,0.14,0.089005235602094,0.000927791645607,YVC1,Yeast Vacuolar Conductance
20,34,S000005612,TCB1,21,422,3561,0.122606597653,1,1123,0.315360853693,0.315360853693,0.198042797038,ORF,"Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication
",5735,YOR086C,chrXV,483219,486779,321,47,46,3561,0.090143218197136,0.094,0.092,0.065420560747664,0.000381952017611,TCB1,Three Calcium and lipid Binding domains (TriCalBins)
21,39,S000004678,SDD2,11,301,438,0.638969982783,8,110,0.251141552511,0.22986720952,0.410400258315,ORF,"Protein with homology to human PDCD5; PDCD5 is involved in programmed cell death; N-terminal region forms a conserved triple-helix bundle structure; overproduction suppresses lethality due to expression of the dominant PET9 allele AAC2-A128P; overexpression promotes H2O2-induced apoptosis; YMR074C is not an essential gene; protein abundance increases in response to DNA replication stress
",4746,YMR074C,chrXIII,413036,413473,39,47,48,438,0.089041095890411,0.094,0.096,0.282051282051282,0.016383845712385,SDD2,Suppressor of Degenerative Death
22,41,S000005275,AAD14,13,80,1131,0.467599533567,0,274,0.242263483643,0.242241557258,0.215322787973,ORF,"Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family
",5039,YNL331C,chrXIV,16118,17248,85,53,63,1131,0.075154730327144,0.106,0.126,0.152941176470588,0.005501170983141,AAD14,Aryl-Alcohol Dehydrogenase
23,42,S000005274,RPD3,0,0,1302,0,0,1302,1,0.999983629283,0,ORF,"Histone deacetylase, component of both the Rpd3S and Rpd3L complexes; regulates transcription, silencing, autophagy and other processes by influencing chromatin remodeling; forms at least two different complexes which have distinct functions and members; Rpd3(L) recruitment to the subtelomeric region is regulated by interaction with the arginine methyltransferase, Hmt1p
",5040,YNL330C,chrXIV,18001,19302,120,66,52,1302,0.092165898617512,0.132,0.104,0,0,RPD3,Reduced Potassium Dependency
24,43,S000005273,PEX6,29,304,3093,0.420870352409,11,572,0.184933721306,0.184933721306,0.153078418383,ORF,"AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death
",5041,YNL329C,chrXIV,19541,22633,287,53,36,3093,0.092790171354672,0.106,0.072,0.101045296167247,0.001466447220937,PEX6,PEroXin
25,44,S000005272,MDJ2,12,140,441,0.944405348346,7,79,0.179138321995,0.164374938476,0,ORF,"Constituent of the mitochondrial import motor; associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain
",5042,YNL328C,chrXIV,22834,23274,31,40,40,441,0.070294784580499,0.08,0.08,0.387096774193548,0.030464688656323,MDJ2,Mitochondrial DnaJ homolog
26,45,S000005271,EGT2,37,298,3126,0.352942130982,0,482,0.154190658989,0.154190658989,0.182484309835,ORF,"Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase; required for proper cell separation after cytokinesis; expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner
",5043,YNL327W,chrXIV,24048,27173,241,44,63,3126,0.077095329494562,0.088,0.126,0.153526970954357,0.00146449017005,EGT2,Early G1 Transcript
27,46,S000005270,PFA3,10,293,1011,0.243659613532,6,194,0.191889218595,0.191831569588,0.217445508972,ORF,"Palmitoyltransferase for Vac8p; required for vacuolar membrane fusion; contains an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; autoacylates; required for vacuolar integrity under stress conditions
",5044,YNL326C,chrXIV,27337,28347,106,52,59,1011,0.10484668644906,0.104,0.118,0.09433962264151,0.002298675599358,PFA3,Protein Fatty Acyltransferase
28,47,S000004670,SOV1,1,1,2697,0.00858517940516,4,2667,0.988876529477,0.988876529463,0,ORF,"Mitochondrial protein of unknown function
",4738,YMR066W,chrXIII,401541,404237,304,57,49,2697,0.112717834631072,0.114,0.098,0.003289473684211,2.82407217275E-05,SOV1,Synthesis Of Var
29,48,S000004671,UBX4,10,105,1251,0.179146023283,1,316,0.252597921663,0.25259103541,0.188486428818,ORF,"UBX domain-containing protein that interacts with Cdc48p; involved in degradation of polyubiquitinated proteins via the ERAD (ER-associated degradation) pathway; modulates the Cdc48p-Nplp-Ufd1p AAA ATPase complex during its role in delivery of misfolded proteins to the proteasome; protein abundance increases in response to DNA replication stress
",4739,YMR067C,chrXIII,404323,405573,110,67,47,1251,0.08792965627498,0.134,0.094,0.090909090909091,0.001628600211664,UBX4,UBiquitin regulatory X
30,49,S000004672,AVO2,12,285,1281,0.200030293497,4,478,0.373145979703,0.373138443603,0.230324545892,ORF,"Component of a complex containing the Tor2p kinase and other proteins; complex may have a role in regulation of cell growth
",4740,YMR068W,chrXIII,406304,407584,94,52,41,1281,0.073380171740828,0.104,0.082,0.127659574468085,0.002127981845713,AVO2,Adheres VOraciously (to TOR2)
31,50,S000004673,NAT4,96,2877,858,2.35226761543,11,73,0.0850815850816,0.0849636683144,0,ORF,"N alpha-acetyl-transferase; involved in acetylation of the N-terminal residues of histones H4 and H2A
",4741,YMR069W,chrXIII,407709,408566,46,37,34,858,0.053613053613054,0.074,0.068,2.08695652173913,0.051136252509348,NAT4,N-AcetylTransferase
32,51,S000004674,MOT3,18,176,1473,0.268772691048,2,242,0.164290563476,0.164290077021,0.220330428614,ORF,"Transcriptional repressor, activator; role in cellular adjustment to osmotic stress, including transcriptional activation and modulation of mating efficiency; involved in repression of subset of hypoxic genes by Rox1p, repression of several DAN/TIR genes during aerobic growth, ergosterol biosynthetic genes in response to hyperosmotic stress; contributes to recruitment of Tup1p-Cyc8p general repressor to promoters; relocalizes to cytosol under hypoxia; can form [MOT3+] prion
",4742,YMR070W,chrXIII,409154,410626,135,35,61,1473,0.091649694501018,0.07,0.122,0.133333333333333,0.001990908822578,MOT3,Modifier of Transcription
33,52,S000004675,TVP18,13,196,504,0.604915991219,6,189,0.375,0.357880810956,0.382597194523,ORF,"Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p; may interact with ribosomes, based on co-purification experiments; may have a role in intracellular sterol transport
",4743,YMR071C,chrXIII,410762,411265,50,61,41,504,0.099206349206349,0.122,0.082,0.26,0.01209831982438,TVP18,Tlg2-Vesicle Protein
34,53,S000004676,ABF2,2,6,552,0.0890890269151,4,256,0.463768115942,0.45043548015,0,ORF,"Mitochondrial DNA-binding protein; involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation; ABF2 has a paralog, IXR1, that arose from the whole genome duplication; human homolog TFAM can complement yeast abf2 mutant, rescuing the loss-of-mitochondrial DNA phenotype in a yeast abf2 strain
",4744,YMR072W,chrXIII,411569,412120,53,39,59,552,0.096014492753623,0.078,0.118,0.037735849056604,0.001680925036134,ABF2,ARS-Binding Factor
35,54,S000004677,IRC21,3,70,606,0.125953578964,2,356,0.587458745875,0.577497480789,0,ORF,"Protein of unknown function; may be involved in resistance to carboplatin and cisplatin; null mutant displays increase in spontaneous Rad52p foci; contains a lipid-binding domain and binds cardiolipin in a large-scale study
",4745,YMR073C,chrXIII,412268,412873,67,48,46,606,0.110561056105611,0.096,0.092,0.044776119402985,0.001879904163642,IRC21,Increased Recombination Centers
36,55,S000003604,,7,126,900,0.242067395264,14,275,0.305555555556,0.305277178802,0.182777777778,ORF,"Esterase that can function as an S-formylglutathione hydrolase; non-essential intracellular esterase; may be involved in the detoxification of formaldehyde, which can be metabolized to S-formylglutathione; similar to human esterase D
",3365,YJL068C,chrX,313016,313915,68,46,43,900,0.075555555555556,0.092,0.086,0.102941176470588,0.003559814636235,,
37,56,S000003605,UTP18,1,5,1785,0.0185835950542,0,1768,0.990476190476,0.990476060974,0,ORF,"Small-subunit processome protein involved in pre-18S rRNA maturation; part of a subunit of the 90S preribosomal particle capable of interacting directly with the 5' ETS of the 35S pre-rRNA; contains WD40 repeats
",3364,YJL069C,chrX,310922,312706,168,57,41,1785,0.094117647058824,0.114,0.082,0.005952380952381,0.000110616637227,UTP18,U Three Protein
38,57,S000003606,,15,342,2667,0.180396333437,3,661,0.247844019498,0.247844019493,0.148113840779,ORF,"Putative metallo-dependent hydrolase superfamily protein; similar to AMP deaminases but lacks key catalytic residues and does not rescue purine nucleotide metabolic defect of quadruple aah1 ade8 amd1 his1 mutant; may regulate purine nucleotide homeostasis as overexpression in an AMD1 strain grown in adenine results in greatly reduced GDP and GTP intracellular levels; not an essential gene; YJL070C has a paralog, YBR284W, that arose from the whole genome duplication
",3363,YJL070C,chrX,307971,310637,270,52,50,2667,0.101237345331834,0.104,0.1,0.055555555555556,0.000668134568285,,
39,58,S000003607,ARG2,4,102,1725,0.0766321601104,4,1308,0.758260869565,0.758260688919,0,ORF,"Acetylglutamate synthase (glutamate N-acetyltransferase); mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p
",3362,YJL071W,chrX,306132,307856,182,49,54,1725,0.105507246376812,0.098,0.108,0.021978021978022,0.000421055824782,ARG2,ARGinine requiring
40,60,S000003601,DLS1,12,92,504,0.720796130952,3,125,0.248015873016,0.23669365804,0.411497467706,ORF,"Subunit of ISW2/yCHRAC chromatin accessibility complex; ISW2/yCHRAC also includes Itc1p, Isw2p, and Dpb4p; involved in inheritance of telomeric silencing; DLS1 has a paralog, DPB3, that arose from the whole genome duplication
",3368,YJL065C,chrX,315054,315557,40,46,44,504,0.079365079365079,0.092,0.088,0.3,0.0180199032738,DLS1,Dpb3-Like Subunit of ISW2/yCHRAC complex
41,61,S000003602,MPM1,14,121,759,0.553945249597,3,92,0.121212121212,0.120761075231,0.211569205153,ORF,"Mitochondrial intermembrane space protein of unknown function
",3367,YJL066C,chrX,314114,314872,63,48,37,759,0.08300395256917,0.096,0.074,0.222222222222222,0.008792781739635,MPM1,Mitochondrial Peculiar Membrane protein
42,63,S000005101,IGO1,4,28,507,0.180350492466,2,228,0.449704142012,0.429754444398,0,ORF,"Protein required for initiation of G0 program; prevents degradation of nutrient-regulated mRNAs via the 5'-3' mRNA decay pathway; phosphorylated by Rim15p; GFP protein localizes to the cytoplasm and nucleus; IGO1 has a paralog, IGO2, that arose from the whole genome duplication
",5215,YNL157W,chrXIV,340352,340858,41,43,58,507,0.080867850098619,0.086,0.116,0.097560975609756,0.004398792499171,IGO1,Initiation of G zerO
43,64,S000005100,NSG2,13,187,900,0.309246527778,0,197,0.218888888889,0.218689469905,0.231111111111,ORF,"Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammalian INSIG proteins; NSG2 has a paralog, NSG1, that arose from the whole genome duplication
",5216,YNL156C,chrXIV,341069,341968,95,46,44,900,0.105555555555556,0.092,0.088,0.136842105263158,0.003255226608189,NSG2,
44,65,S000005103,ASI2,5,15,870,0.132408551425,5,445,0.511494252874,0.510865422544,0.149836446633,ORF,"Subunit of the nuclear inner membrane Asi ubiquitin ligase complex; Asi complex targets both misfolded proteins and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi1p and Asi3p to ensure the fidelity of SPS-sensor signalling by targeting latent unprocessed forms of Stp1p and Stp2p and maintains the repressed state of gene expression in the absence of inducing amino acids
",5213,YNL159C,chrXIV,338478,339347,72,56,50,870,0.082758620689655,0.112,0.1,0.069444444444445,0.001839007658681,ASI2,Amino acid Sensor-Independent
45,66,S000005102,PGA1,1,41,597,0.039409861468,1,593,0.993299832496,0.974900120263,0,ORF,"Essential component of GPI-mannosyltransferase II; complex is responsible for second mannose addition to GPI precursors as a partner of Gpi18p; required for maturation of Gas1p and Pho8p; has synthetic genetic interactions with secretory pathway genes
",5214,YNL158W,chrXIV,339612,340208,50,46,44,597,0.083752093802345,0.092,0.088,0.02,0.00078819722936,PGA1,Processing of Gas1p and ALP
46,67,S000003608,PSF2,0,0,642,0,0,642,1,0.988108868356,0,ORF,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p); complex is localized to DNA replication origins and implicated in assembly of the DNA replication machinery
",3361,YJL072C,chrX,305221,305862,57,44,50,642,0.088785046728972,0.088,0.1,0,0,PSF2,Partner of Sld Five
47,68,S000003609,JEM1,10,150,1938,0.112239102087,0,572,0.295149638803,0.295149630447,0.151554161403,ORF,"DnaJ-like chaperone required for nuclear membrane fusion during mating; localizes to the ER membrane; exhibits genetic interactions with KAR2
",3360,YJL073W,chrX,303181,305118,186,46,50,1938,0.095975232198142,0.092,0.1,0.053763440860215,0.000603436032726,JEM1,DnaJ-like protein of the ER Membrane
48,69,S000005107,RIA1,1,3,3333,0.00673240400963,1,2199,0.659765976598,0.659765976598,0,ORF,"Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis; with Sdo1p, a guanine nucleotide exchange factor (GEF), promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; required for quality control check of newly made large ribosomal subunits before they are released into the pool of translating ribosomes
",5208,YNL163C,chrXIV,326741,330073,304,56,58,3333,0.091209120912091,0.112,0.116,0.003289473684211,2.21460658211513E-05,RIA1,RIbosome Assembly
49,70,S000002156,RPL19A,9,75,1076,0.291094873844,4,207,0.363157894737,0.354395976433,0,ORF,"Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication
",331,YBR084C-A,chrII,414186,415261,99,54,39,1076,0.092007434944238,0.108,0.078,0.090909090909091,0.002940352261051,RPL19A,Ribosomal Protein of the Large subunit
50,72,S000002485,SHU2,15,176,672,0.385273972603,1,272,0.404761904762,0.40118526648,0.405562934331,ORF,"Component of Shu complex (aka PCSS complex); Shu complex also includes Psy3, Csm2, Shu1, and promotes error-free DNA repair, Shu complex mediates inhibition of Srs2p function; promotes formation of Rad51p filaments; important for both mitotic and meiotic homologous recombination, and contains a conserved SWIM domain that is necessary for both
",1100,YDR078C,chrIV,602198,602869,74,51,42,672,0.110119047619048,0.102,0.084,0.202702702702703,0.005206405035176,SHU2,Suppressor of HydroxyUrea sensitivity
51,73,S000002484,SED1,53,1004,1017,0.765850113291,8,77,0.0757128810226,0.075691458976,0,ORF,"Major stress-induced structural GPI-cell wall glycoprotein; associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites; SED1 has a paralog, SPI1, that arose from the whole genome duplication
",1099,YDR077W,chrIV,600793,601809,62,45,54,1017,0.060963618485742,0.09,0.108,0.854838709677419,0.012352421182113,SED1,Suppression of Exponential Defect
52,74,S000002487,VPS41,0,0,2979,0,0,2979,1,0.999999999999,0,ORF,"Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector, interacting specifically with the GTP-bound conformation of Ypt7p, facilitating tethering, docking and promoting membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking; Yck3p-mediated phosphorylation regulates the organization of vacuolar fusion sites
",1103,YDR080W,chrIV,604008,606986,340,53,49,2979,0.114132259147365,0.106,0.098,0,0,VPS41,Vacuolar Protein Sorting
53,76,S000002486,PET100,4,92,336,0.230095238095,2,154,0.458333333333,0.364723194786,0,ORF,"Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme
",1101,YDR079W,chrIV,603064,603399,29,49,48,336,0.086309523809524,0.098,0.096,0.137931034482759,0.007934318555,PET100,PETite colonies
54,77,S000002266,KIN28,0,0,1002,0,0,921,1,0.999261388794,0,ORF,"Serine/threonine protein kinase, subunit of transcription factor TFIIH; involved in transcription initiation at RNA polymerase II promoters; phosphorylates Ser5 residue of the PolII C-terminal domain (CTD) at gene promoters; relocalizes to the cytosol in response to hypoxia
",906,YDL108W,chrIV,267698,268699,97,51,53,1002,0.096806387225549,0.102,0.106,0,0,KIN28,protein KINase
55,78,S000002481,TPS2,2,21,2691,0.0114204364051,1,2595,0.964325529543,0.964325529528,0,ORF,"Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress
",1096,YDR074W,chrIV,593893,596583,239,31,59,2691,0.088814567075437,0.062,0.118,0.00836820083682,4.77842527410042E-05,TPS2,Trehalose-6-Phosphate Synthase/phosphatase
56,79,S000001897,LOC1,7,39,615,0.348370509346,3,200,0.325203252033,0.320156176722,0.242795726515,ORF,"Nuclear protein involved in asymmetric localization of ASH1 mRNA; binds double-stranded RNA in vitro; constituent of 66S pre-ribosomal particles; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; relocalizes from nucleus to cytoplasm upon DNA replication stress
",1989,YFR001W,chrVI,149110,149724,54,59,58,615,0.087804878048781,0.118,0.116,0.12962962962963,0.00645130572863,LOC1,LOCalization of mRNA
57,80,S000002480,SNF11,28,463,510,0.840255357957,16,101,0.198039215686,0.189502288727,0,ORF,"Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions
",1095,YDR073W,chrIV,592439,592948,48,43,35,510,0.094117647058824,0.086,0.07,0.583333333333333,0.017505319957438,SNF11,Sucrose NonFermenting
