Standard name,id,short name,description
S000000037,YAL039C,CYC3,CYtochrome C
S000000038,YAL040C,CLN3,CycLiN
S000000039,YAL041W,CDC24,Cell Division Cycle
S000000040,YAL042W,ERV46,ER Vesicle
S000000041,YAL043C,PTA1,Pre-Trna Accumulation
S000000042,YAL044C,GCV3,GlyCine cleaVage
S000000044,YAL046C,BOL3,BolA-like protein
S000000045,YAL047C,SPC72,Spindle Pole Component
S000000046,YAL048C,GEM1,GTPase EF-hand protein of Mitochondria
S000000047,YAL049C,AIM2,Altered Inheritance rate of Mitochondria
S000000048,YAL051W,OAF1,Oleate-Activated transcription Factor
S000000049,YAL053W,FLC2,FLavin Carrier
S000000050,YAL054C,ACS1,Acetyl CoA Synthetase
S000000051,YAL055W,PEX22,PEroXisome related
S000000052,YAL056W,GPB2,
S000000054,YAL058W,CNE1,CalNExin and calreticulin homolog
S000000055,YAL059W,ECM1,ExtraCellular Mutant
S000000056,YAL060W,BDH1,Butanediol DeHydrogenase
S000000057,YAL061W,BDH2,
S000000058,YAL062W,GDH3,Glutamate DeHydrogenase
S000000060,YAL064W,,
S000000062,YAL067C,SEO1,Suppressor of sulfoxyde EthiOnine resistance
S000000063,YAR002W,NUP60,NUclear Pore
S000000064,YAR003W,SWD1,"Set1c, WD40 repeat protein"
S000000065,YAR007C,RFA1,Replication Factor A
S000000066,YAR008W,SEN34,Splicing ENdonuclease
S000000069,YAR014C,BUD14,BUD site selection
S000000070,YAR015W,ADE1,ADEnine requiring
S000000071,YAR018C,KIN3,protein KINase
S000000072,YAR019C,CDC15,Cell Division Cycle
S000000073,YAR020C,PAU7,seriPAUperin family
S000000074,YAR023C,,
S000000075,YAR027W,UIP3,Ulp1 Interacting Protein
S000000076,YAR028W,,
S000000077,YAR029W,,
S000000080,YAR035W,YAT1,
S000000081,YAR042W,SWH1,
S000000097,YBL001C,ECM15,ExtraCellular Mutant
S000000098,YBL002W,HTB2,Histone h Two B
S000000099,YBL003C,HTA2,Histone h Two A
S000000100,YBL004W,UTP20,U Three Protein
S000000101,YBL005W,PDR3,Pleiotropic Drug Resistance
S000000102,YBL006C,LDB7,Low Dye Binding
S000000103,YBL007C,SLA1,Synthetic Lethal with ABP1
S000000104,YBL008W,HIR1,HIstone Regulation
S000000105,YBL009W,ALK2,
S000000106,YBL010C,,
S000000107,YBL011W,SCT1,Suppressor of Choline-Transport mutants
S000000109,YBL013W,FMT1,Formyl-Methionyl-tRNA Transformylase
S000000110,YBL014C,RRN6,Regulation of RNA polymerase I
S000000111,YBL015W,ACH1,Acetyl CoA Hydrolase
S000000112,YBL016W,FUS3,cell FUSion
S000000113,YBL017C,PEP1,carboxyPEPtidase Y-deficient
S000000114,YBL018C,POP8,Processing Of Precursor RNAs
S000000115,YBL019W,APN2,APurinic/apyrimidinic eNdonuclease
S000000116,YBL020W,RFT1,Requiring Fifty-Three
S000000117,YBL021C,HAP3,Heme Activator Protein
S000000118,YBL022C,PIM1,Proteolysis In Mitochondria
S000000119,YBL023C,MCM2,MiniChromosome Maintenance
S000000120,YBL024W,NCL1,NuCLear protein
S000000121,YBL025W,RRN10,Regulation of RNA polymerase I
S000000122,YBL026W,LSM2,Like SM
S000000123,YBL027W,RPL19B,Ribosomal Protein of the Large subunit
S000000124,YBL028C,,
S000000125,YBL029W,,
S000000126,YBL030C,PET9,PETite
S000000127,YBL031W,SHE1,Sensitivity to High Expression
S000000128,YBL032W,HEK2,HEterogeneous nuclear rnp K-like gene
S000000129,YBL033C,RIB1,RIBoflavin biosynthesis
S000000130,YBL034C,STU1,Suppressor of TUbulin
S000000131,YBL035C,POL12,POLymerase
S000000132,YBL036C,,
S000000133,YBL037W,APL3,clathrin Adaptor Protein complex Large chain
S000000134,YBL038W,MRPL16,"Mitochondrial Ribosomal Protein, Large subunit"
S000000135,YBL039C,URA7,URAcil requiring
S000000136,YBL040C,ERD2,Endoplasmic reticulum Retention Defective
S000000137,YBL041W,PRE7,PRoteinase yscE
S000000138,YBL042C,FUI1,5-FlUorourIdine resistance
S000000139,YBL043W,ECM13,ExtraCellular Mutant
S000000140,YBL044W,,
S000000141,YBL045C,COR1,CORe protein of QH2 cytochrome c reductase
S000000142,YBL046W,PSY4,Platinum SensitivitY
S000000143,YBL047C,EDE1,EH Domains and Endocytosis
S000000145,YBL049W,MOH1,
S000000146,YBL050W,SEC17,SECretory
S000000147,YBL051C,PIN4,Psi+ INducibility
S000000148,YBL052C,SAS3,Something About Silencing
S000000150,YBL054W,TOD6,Twin Of Dot6p
S000000151,YBL055C,,
S000000152,YBL056W,PTC3,Phosphatase Two C
S000000153,YBL057C,PTH2,Peptidyl-Trna Hydrolase
S000000154,YBL058W,SHP1,Suppressor of High-copy PP1
S000000155,YBL059W,IAI11,Interactor of AIm11
S000000156,YBL060W,YEL1,Yeast EFA6-Like
S000000157,YBL061C,SKT5,
S000000159,YBL063W,KIP1,KInesin related Protein
S000000160,YBL064C,PRX1,PeroxiRedoXin
S000000162,YBL066C,SEF1,Suppressor of Essential Function
S000000163,YBL067C,UBP13,UBiquitin-specific Protease
S000000164,YBL068W,PRS4,PhosphoRibosylpyrophosphate Synthetase
S000000165,YBL069W,AST1,ATPase STabilizing
S000000170,YBL074C,AAR2,A1-Alpha2 Repression
S000000171,YBL075C,SSA3,Stress-Seventy subfamily A
S000000172,YBL076C,ILS1,IsoLeucine-tRNA Synthetase
S000000174,YBL078C,ATG8,AuTophaGy related
S000000175,YBL079W,NUP170,NUclear Pore
S000000176,YBL080C,PET112,PETite colonies
S000000177,YBL081W,,
S000000178,YBL082C,ALG3,Asparagine Linked Glycosylation
S000000180,YBL084C,CDC27,Cell Division Cycle
S000000181,YBL085W,BOI1,Bem1 (One) Interacting protein
S000000182,YBL086C,,
S000000183,YBL087C,RPL23A,Ribosomal Protein of the Large subunit
S000000184,YBL088C,TEL1,TELomere maintenance
S000000185,YBL089W,AVT5,Amino acid Vacuolar Transport
S000000186,YBL090W,MRP21,Mitochondrial Ribosomal Protein
S000000187,YBL091C,MAP2,Methionine AminoPeptidase
S000000188,YBL092W,RPL32,Ribosomal Protein of the Large subunit
S000000189,YBL093C,ROX3,Regulation by OXygen
S000000191,YBL095W,MRX3,Mitochondrial oRganization of gene eXpression (MIOREX)
S000000193,YBL097W,BRN1,homolog of BaRreN
S000000194,YBL098W,BNA4,Biosynthesis of Nicotinic Acid
S000000195,YBL099W,ATP1,ATP synthase
S000000197,YBL101C,ECM21,ExtraCellular Mutant
S000000198,YBL102W,SFT2,Suppressor of sed Five Ts
S000000199,YBL103C,RTG3,ReTroGrade regulation
S000000200,YBL104C,SEA4,SEh1-Associated
S000000201,YBL105C,PKC1,Protein Kinase C
S000000202,YBL106C,SRO77,Suppressor of rho3
S000000203,YBL107C,MIX23,Mitochondrial Intermembrane space CX(n)C motif protein
S000000205,YBR001C,NTH2,Neutral TreHalase
S000000206,YBR002C,RER2,Retention in the Endoplasmic Reticulum
S000000207,YBR003W,COQ1,COenzyme Q
S000000208,YBR004C,GPI18,GlycosylPhosphatidylInositol
S000000209,YBR005W,RCR1,Resistance to Congo Red
S000000210,YBR006W,UGA2,Utilization of GAba
S000000211,YBR007C,DSF2,Deletion Suppressor of mptFive/pufFive mutation
S000000212,YBR008C,FLR1,FLuconazole Resistance
S000000213,YBR009C,HHF1,Histone H Four
S000000214,YBR010W,HHT1,Histone H Three
S000000215,YBR011C,IPP1,Inorganic PyroPhosphatase
S000000217,YBR013C,,
S000000218,YBR014C,GRX7,GlutaRedoXin
S000000219,YBR015C,MNN2,MaNNosyltransferase
S000000220,YBR016W,,
S000000221,YBR017C,KAP104,KAryoPherin
S000000222,YBR018C,GAL7,GALactose metabolism
S000000223,YBR019C,GAL10,GALactose metabolism
S000000224,YBR020W,GAL1,GALactose metabolism
S000000225,YBR021W,FUR4,5-FlUoRouridine sensitivity
S000000226,YBR022W,POA1,"Phosphatase Of ADP-ribose 1""-phosphate"
S000000227,YBR023C,CHS3,CHitin Synthase-related
S000000228,YBR024W,SCO2,Suppressor of Cytochrome Oxidase deficiency
S000000229,YBR025C,OLA1,Obg-Like ATPase
S000000230,YBR026C,ETR1,2-Enoyl Thioester Reductase
S000000232,YBR028C,YPK3,
S000000233,YBR029C,CDS1,CDP-Diacylglycerol Synthase
S000000234,YBR030W,RKM3,Ribosomal lysine (K) Methyltransferase
S000000237,YBR033W,EDS1,Expression Dependent on Slt2
S000000238,YBR034C,HMT1,HnRNP MethylTransferase
S000000239,YBR035C,PDX3,PyriDoXine auxotrophy
S000000240,YBR036C,CSG2,Calcium Sensitive Growth
S000000241,YBR037C,SCO1,Suppressor of Cytochrome Oxidase deficiency
S000000242,YBR038W,CHS2,CHitin Synthase
S000000243,YBR039W,ATP3,ATP synthase
S000000244,YBR040W,FIG1,Factor-Induced Gene
S000000245,YBR041W,FAT1,FATty acid transporter
S000000246,YBR042C,CST26,Chromosome STability
S000000247,YBR043C,QDR3,QuiniDine Resistance
S000000248,YBR044C,TCM62,TriCarboxylic acid cycle Mutant
S000000249,YBR045C,GIP1,Glc7-Interacting Protein
S000000250,YBR046C,ZTA1,ZeTA-crystallin
S000000251,YBR047W,FMP23,Found in Mitochondrial Proteome
S000000252,YBR048W,RPS11B,Ribosomal Protein of the Small subunit
S000000253,YBR049C,REB1,RNA polymerase I Enhancer Binding protein
S000000254,YBR050C,REG2,REsistance to Glucose repression
S000000256,YBR052C,RFS1,Rad55 (Fifty-five) Suppressor
S000000257,YBR053C,,
S000000258,YBR054W,YRO2,
S000000259,YBR055C,PRP6,Pre-mRNA Processing
S000000260,YBR056W,,
S000000261,YBR057C,MUM2,MUddled Meiosis
S000000262,YBR058C,UBP14,UBiquitin-specific Protease
S000000263,YBR059C,AKL1,Ark family Kinase-Like protein
S000000264,YBR060C,ORC2,Origin Recognition Complex
S000000265,YBR061C,TRM7,Transfer RNA Methyltransferase
S000000266,YBR062C,,
S000000267,YBR063C,,
S000000269,YBR065C,ECM2,ExtraCellular Mutant
S000000270,YBR066C,NRG2,Negative Regulator of Glucose-controlled genes
S000000271,YBR067C,TIP1,Temperature shock-Inducible Protein
S000000272,YBR068C,BAP2,Branched-chain Amino acid Permease
S000000273,YBR069C,TAT1,Tyrosine and tryptophan Amino acid Transporter
S000000274,YBR070C,ALG14,Asparagine Linked Glycosylation
S000000275,YBR071W,,
S000000276,YBR072W,HSP26,Heat Shock Protein
S000000277,YBR073W,RDH54,RaD54 Homolog
S000000278,YBR074W,PFF1,Protease in FXNA-related Family
S000000280,YBR076W,ECM8,ExtraCellular Mutant
S000000281,YBR077C,SLM4,Synthetic Lethal with Mss4
S000000282,YBR078W,ECM33,ExtraCellular Mutant
S000000283,YBR079C,RPG1,
S000000284,YBR080C,SEC18,SECretory
S000000285,YBR081C,SPT7,SuPpressor of Ty's
S000000286,YBR082C,UBC4,UBiquitin-Conjugating
S000000287,YBR083W,TEC1,Transposon Enhancement Control
S000000288,YBR084W,MIS1,MItochondrial C1-tetrahydrofolate Synthase
S000000289,YBR085W,AAC3,ADP/ATP Carrier
S000000290,YBR086C,IST2,Increased Sodium Tolerance
S000000291,YBR087W,RFC5,Replication Factor C
S000000292,YBR088C,POL30,POLymerase
S000000294,YBR090C,,
S000000295,YBR091C,TIM12,Translocase of the Inner Membrane
S000000296,YBR092C,PHO3,PHOsphate metabolism
S000000297,YBR093C,PHO5,PHOsphate metabolism
S000000298,YBR094W,PBY1,P-BodY associated protein
S000000299,YBR095C,RXT2,
S000000300,YBR096W,,
S000000301,YBR097W,VPS15,Vacuolar Protein Sorting
S000000302,YBR098W,MMS4,Methyl MethaneSulfonate sensitivity
S000000305,YBR101C,FES1,Factor Exchange for Ssa1p
S000000306,YBR102C,EXO84,EXOcyst
S000000307,YBR103W,SIF2,Sir4p-Interacting Factor
S000000308,YBR104W,YMC2,Yeast Mitochondrial Carrier
S000000309,YBR105C,VID24,Vacuolar Import and Degradation
S000000310,YBR106W,SND3,SRP-iNDependent targeting
S000000311,YBR107C,IML3,Increased Minichromosome Loss
S000000312,YBR108W,AIM3,Altered Inheritance rate of Mitochondria
S000000313,YBR109C,CMD1,CalMoDulin
S000000314,YBR110W,ALG1,Asparagine-Linked Glycosylation
S000000315,YBR111C,YSA1,
S000000316,YBR112C,CYC8,CYtochrome C
S000000318,YBR114W,RAD16,RADiation sensitive
S000000319,YBR115C,LYS2,LYSine requiring
S000000321,YBR117C,TKL2,TransKetoLase
S000000323,YBR119W,MUD1,Mutant U1 Die
S000000324,YBR120C,CBP6,Cytochrome B Protein synthesis
S000000325,YBR121C,GRS1,Glycyl-tRNA Synthase
S000000326,YBR122C,MRPL36,"Mitochondrial Ribosomal Protein, Large subunit"
S000000327,YBR123C,TFC1,Transcription Factor class C
S000000329,YBR125C,PTC4,Phosphatase Two C
S000000330,YBR126C,TPS1,Trehalose-6-Phosphate Synthase
S000000331,YBR127C,VMA2,Vacuolar Membrane Atpase
S000000332,YBR128C,ATG14,AuTophaGy related
S000000333,YBR129C,OPY1,Overproduction-induced Pheromone-resistant Yeast
S000000334,YBR130C,SHE3,Swi5p-dependent HO Expression
S000000335,YBR131W,CCZ1,Calcium Caffeine Zinc sensitivity
S000000336,YBR132C,AGP2,high-Affinity Glutamine Permease
S000000337,YBR133C,HSL7,Histone Synthetic Lethal
S000000339,YBR135W,CKS1,Cdc28 Kinase Subunit
S000000340,YBR136W,MEC1,Mitosis Entry Checkpoint
S000000341,YBR137W,,
S000000342,YBR138C,,
S000000343,YBR139W,ATG42,AuTophaGy
S000000344,YBR140C,IRA1,Inhibitory Regulator of the RAS-cAMP pathway
S000000345,YBR141C,BMT2,Base MethylTransferase of 25S RNA
S000000346,YBR142W,MAK5,MAintenance of Killer
S000000347,YBR143C,SUP45,SUPpressor
S000000349,YBR145W,ADH5,Alcohol DeHydrogenase
S000000350,YBR146W,MRPS9,"Mitochondrial Ribosomal Protein, Small subunit"
S000000351,YBR147W,RTC2,Restriction of Telomere Capping
S000000352,YBR148W,YSW1,
S000000353,YBR149W,ARA1,D-ARAbinose dehydrogenase
S000000354,YBR150C,TBS1,ThiaBendazole Sensitive
S000000355,YBR151W,APD1,Actin Patches Distal
S000000356,YBR152W,SPP381,Suppressor of PrP38-1
S000000357,YBR153W,RIB7,RIBoflavin biosynthesis
S000000358,YBR154C,RPB5,RNA Polymerase B
S000000359,YBR155W,CNS1,CyclophiliN Seven suppressor
S000000360,YBR156C,SLI15,Synthetically Lethal with Ipl1
S000000361,YBR157C,ICS2,Increased Copper Sensitivity
S000000362,YBR158W,AMN1,Antagonist of Mitotic exit Network
S000000363,YBR159W,IFA38,
S000000364,YBR160W,CDC28,Cell Division Cycle
S000000365,YBR161W,CSH1,CSG1/SUR1 Homolog
S000000366,YBR162C,TOS1,Target Of Sbf
S000000367,YBR163W,EXO5,EXOnuclease V
S000000368,YBR164C,ARL1,ADP-Ribosylation factor-Like
S000000369,YBR165W,UBS1,UBiquitin-conjugating enzyme Suppressor
S000000370,YBR166C,TYR1,TYRosine
S000000371,YBR167C,POP7,Processing Of Precursor RNAs
S000000372,YBR168W,PEX32,PEroXisome related
S000000373,YBR169C,SSE2,Stress Seventy subfamily E
S000000374,YBR170C,NPL4,Nuclear Protein Localization
S000000375,YBR171W,SEC66,SECretory
S000000376,YBR172C,SMY2,Suppressor of MYo2-66
S000000377,YBR173C,UMP1,Ubiquitin-Mediated Proteolysis
S000000379,YBR175W,SWD3,"Set1c, WD40 repeat protein"
S000000380,YBR176W,ECM31,ExtraCellular Mutant
S000000381,YBR177C,EHT1,Ethanol Hexanoyl Transferase
S000000383,YBR179C,FZO1,FuZzy Onions homolog
S000000384,YBR180W,DTR1,DiTyRosine
S000000386,YBR182C,SMP1,Second MEF2-like Protein 1
S000000387,YBR183W,YPC1,Yeast Phyto-Ceramidase
S000000388,YBR184W,,
S000000389,YBR185C,MBA1,Multi-copy Bypass of AFG3
S000000390,YBR186W,PCH2,Pachytene CHeckpoint
S000000391,YBR187W,GDT1,Gcr1 Dependent Translation factor
S000000392,YBR188C,NTC20,Prp19p (NineTeen)-associated Complex
S000000393,YBR189W,RPS9B,Ribosomal Protein of the Small subunit
S000000395,YBR191W,RPL21A,Ribosomal Protein of the Large subunit
S000000396,YBR192W,RIM2,Replication In Mitochondria
S000000397,YBR193C,MED8,MEDiator complex
S000000398,YBR194W,AIM4,Altered Inheritance rate of Mitochondria
S000000399,YBR195C,MSI1,Multicopy Suppressor of IRA1
S000000400,YBR196C,PGI1,PhosphoGlucoIsomerase
S000000401,YBR197C,,
S000000402,YBR198C,TAF5,TATA binding protein-Associated Factor
S000000403,YBR199W,KTR4,Kre Two Related
S000000404,YBR200W,BEM1,Bud EMergence
S000000405,YBR201W,DER1,Degradation in the Endoplasmic Reticulum
S000000406,YBR202W,MCM7,MiniChromosome Maintenance
S000000407,YBR203W,COS111,Ciclopirox Olamine Sensitive
S000000408,YBR204C,LDH1,Lipid Droplet Hydrolase
S000000409,YBR205W,KTR3,Kre Two Related
S000000411,YBR207W,FTH1,FTR1 Homolog
S000000412,YBR208C,"DUR1,2",Degradation of URea
S000000414,YBR210W,ERV15,ER Vesicle Protein
S000000415,YBR211C,AME1,Associated with Microtubules and Essential
S000000416,YBR212W,NGR1,Negative Growth Regulatory protein
S000000417,YBR213W,MET8,METhionine requiring
S000000418,YBR214W,SDS24,homolog of S. pombe SDS23
S000000419,YBR215W,HPC2,Histone Periodic Control
S000000420,YBR216C,YBP1,Yap1-Binding Protein
S000000421,YBR217W,ATG12,AuTophaGy related
S000000422,YBR218C,PYC2,PYruvate Carboxylase
S000000423,YBR219C,,
S000000424,YBR220C,,
S000000425,YBR221C,PDB1,Pyruvate Dehydrogenase Beta subunit
S000000426,YBR222C,PCS60,Peroxisomal CoA-dependent Synthetase
S000000427,YBR223C,TDP1,Tyrosyl-DNA Phosphodiesterase
S000000429,YBR225W,,
S000000431,YBR227C,MCX1,Mitochondrial ClpX
S000000432,YBR228W,SLX1,Synthetic Lethal of unknown (X) function
S000000433,YBR229C,ROT2,Reversal Of Tor2 lethality
S000000434,YBR230C,OM14,Outer Membrane Protein of 14 kDa
S000000435,YBR231C,SWC5,SWr Complex
S000000437,YBR233W,PBP2,Pbp1p Binding Protein
S000000438,YBR234C,ARC40,ARp2/3 Complex subunit
S000000439,YBR235W,VHC1,Vacuolar protein Homologous to CCC family
S000000440,YBR236C,ABD1,
S000000441,YBR237W,PRP5,Pre-mRNA Processing
S000000442,YBR238C,,
S000000443,YBR239C,ERT1,Ethanol Regulated Transcription factor
S000000444,YBR240C,THI2,THIamine metabolism
S000000445,YBR241C,,
S000000446,YBR242W,,
S000000447,YBR243C,ALG7,Asparagine-Linked Glycosylation
S000000448,YBR244W,GPX2,Glutathione PeroXidase
S000000449,YBR245C,ISW1,Imitation SWitch subfamily
S000000450,YBR246W,RRT2,Regulator of rDNA Transcription
S000000451,YBR247C,ENP1,Essential Nuclear Protein
S000000452,YBR248C,HIS7,HIStidine requiring
S000000453,YBR249C,ARO4,AROmatic amino acid requiring
S000000454,YBR250W,SPO23,SPOrulation
S000000455,YBR251W,MRPS5,"Mitochondrial Ribosomal Protein, Small subunit"
S000000456,YBR252W,DUT1,DUTp pyrophosphatase
S000000457,YBR253W,SRB6,Suppressor of RNA polymerase B
S000000458,YBR254C,TRS20,TRapp Subunit
S000000459,YBR255W,MTC4,Maintenance of Telomere Capping
S000000460,YBR256C,RIB5,RIBoflavin biosynthesis
S000000461,YBR257W,POP4,Processing Of Precursor RNAs
S000000462,YBR258C,SHG1,"Set1c, Hypothetical G"
S000000463,YBR259W,,
S000000464,YBR260C,RGD1,Related GAP Domain
S000000465,YBR261C,TAE1,Translation Associated Element
S000000466,YBR262C,MIC12,MItochondrial contact site and Cristae organizing system
S000000467,YBR263W,SHM1,Serine HydroxyMethyltransferase
S000000468,YBR264C,YPT10,Yeast Protein Two
S000000469,YBR265W,TSC10,Temperature-sensitive Suppressors of Csg2 mutants
S000000471,YBR267W,REI1,REquired for Isotropic bud growth
S000000472,YBR268W,MRPL37,"Mitochondrial Ribosomal Protein, Large subunit"
S000000473,YBR269C,SDH8,Succinate DeHydrogenase
S000000474,YBR270C,BIT2,Binding partner of Tor2p
S000000475,YBR271W,EFM2,Elongation Factor Methyltransferase
S000000476,YBR272C,HSM3,enHanced Spontaneous Mutability
S000000477,YBR273C,UBX7,UBiquitin regulatory X
S000000478,YBR274W,CHK1,CHeckpoint Kinase
S000000479,YBR275C,RIF1,RAP1-Interacting Factor
S000000480,YBR276C,PPS1,Protein Phosphatase S phase
S000000482,YBR278W,DPB3,DNA Polymerase B (II) subunit
S000000483,YBR279W,PAF1,RNA Polymerase II Associated Factor
S000000484,YBR280C,SAF1,SCF Associated Factor
S000000485,YBR281C,DUG2,Deficient in Utilization of Glutathione
S000000486,YBR282W,MRPL27,"Mitochondrial Ribosomal Protein, Large subunit"
S000000487,YBR283C,SSH1,Sec Sixty-one Homolog
S000000488,YBR284W,,
S000000489,YBR285W,,
S000000490,YBR286W,APE3,AminoPEptidase
S000000491,YBR287W,,
S000000492,YBR288C,APM3,clathrin Adaptor Protein complex Medium chain
S000000493,YBR289W,SNF5,Sucrose NonFermenting
S000000494,YBR290W,BSD2,Bypass Sod1p Defects
S000000495,YBR291C,CTP1,Citrate Transport Protein
S000000497,YBR293W,VBA2,Vacuolar Basic Amino acid transporter
S000000498,YBR294W,SUL1,SULfate
S000000499,YBR295W,PCA1,P-type Cation-transporting ATPase
S000000500,YBR296C,PHO89,PHOsphate metabolism
S000000501,YBR297W,MAL33,MALtose
S000000502,YBR298C,MAL31,MALtose fermentation
S000000507,YCL001W,RER1,Retention in the Endoplasmic Reticulum
S000000508,YCL002C,,
S000000510,YCL004W,PGS1,PhosphatidylGlycerolphosphate Synthase
S000000511,YCL005W,LDB16,Low Dye Binding
S000000514,YCL008C,STP22,STerile Pseudoreversion
S000000515,YCL009C,ILV6,IsoLeucine Valine
S000000516,YCL010C,SGF29,SaGa associated Factor
S000000517,YCL011C,GBP2,G-strand Binding Protein
S000000520,YCL014W,BUD3,BUD site selection
S000000521,YCL016C,DCC1,Defective in sister Chromatid Cohesion
S000000522,YCL017C,NFS1,NiFS-like
S000000523,YCL018W,LEU2,LEUcine biosynthesis
S000000529,YCL024W,KCC4,
S000000530,YCL025C,AGP1,high-Affinity Glutamine Permease
S000000532,YCL027W,FUS1,cell FUSion
S000000533,YCL028W,RNQ1,Rich in asparagine (N) and glutamine (Q)
S000000534,YCL029C,BIK1,BIlateral Karyogamy defect
S000000535,YCL030C,HIS4,HIStidine requiring
S000000536,YCL031C,RRP7,Ribosomal RNA Processing
S000000537,YCL032W,STE50,STErile
S000000538,YCL033C,MXR2,peptide Methionine sulfoXide Reductase
S000000539,YCL034W,LSB5,Las Seventeen Binding protein
S000000540,YCL035C,GRX1,GlutaRedoXin
S000000541,YCL036W,GFD2,Great for Full DEAD box protein activity
S000000542,YCL037C,SRO9,Suppressor of rho3
S000000543,YCL038C,ATG22,AuTophaGy related
S000000544,YCL039W,GID7,Glucose Induced Degradation deficient
S000000545,YCL040W,GLK1,GLucoKinase
S000000547,YCL042W,,
S000000548,YCL043C,PDI1,Protein Disulfide Isomerase
S000000549,YCL044C,MGR1,Mitochondrial Genome Required
S000000550,YCL045C,EMC1,ER Membrane protein Complex
S000000552,YCL047C,POF1,Promoter Of Filamentation
S000000553,YCL048W,SPS22,SPorulation Specific 2 too (2)
S000000554,YCL049C,,
S000000555,YCL050C,APA1,AP4A phosphorylase
S000000556,YCL051W,LRE1,Laminarase REsistance
S000000557,YCL052C,PBN1,Protease B Non-derepressible
S000000559,YCL054W,SPB1,Suppressor of PaB1 mutant
S000000560,YCL055W,KAR4,KARyogamy
S000000561,YCL056C,PEX34,PEroXin
S000000562,YCL057W,PRD1,PRoteinase yscD
S000000563,YCL058C,FYV5,Function required for Yeast Viability
S000000564,YCL059C,KRR1,contains KRR-R motif
S000000566,YCL061C,MRC1,Mediator of the Replication Checkpoint
S000000568,YCL063W,VAC17,VACuole related
S000000569,YCL064C,CHA1,Catabolism of Hydroxy Amino acids
S000000589,YCL026C-A,FRM2,Fatty acid Repression Mutant
S000000595,YCR002C,CDC10,Cell Division Cycle
S000000596,YCR003W,MRPL32,"Mitochondrial Ribosomal Protein, Large subunit"
S000000597,YCR004C,YCP4,
S000000598,YCR005C,CIT2,CITrate synthase
S000000600,YCR007C,,
S000000601,YCR008W,SAT4,
S000000602,YCR009C,RVS161,Reduced Viability on Starvation
S000000603,YCR010C,ADY2,Accumulation of DYads
S000000604,YCR011C,ADP1,ATP-Dependent Permease
S000000605,YCR012W,PGK1,3-PhosphoGlycerate Kinase
S000000607,YCR014C,POL4,POLymerase
S000000608,YCR015C,CTO1,Cold TOlerance
S000000609,YCR016W,,
S000000610,YCR017C,CWH43,Calcofluor White Hypersensitive
S000000611,YCR018C,SRD1,
S000000612,YCR019W,MAK32,MAintenance of Killer
S000000613,YCR020C,PET18,PETite colonies
S000000614,YCR020C-A,MAK31,MAintenance of Killer
S000000615,YCR021C,HSP30,Heat Shock Protein
S000000617,YCR023C,,
S000000618,YCR024C,SLM5,Synthetic Lethal with Mss4
S000000619,YCR024C-A,PMP1,Plasma Membrane Proteolipid
S000000621,YCR026C,NPP1,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase
S000000622,YCR027C,RHB1,RHeB homolog
S000000623,YCR028C,FEN2,FENpropimorph resistance
S000000626,YCR030C,SYP1,Suppressor of Yeast Profilin deletion
S000000627,YCR031C,RPS14A,Ribosomal Protein of the Small subunit
S000000628,YCR032W,BPH1,Beige Protein Homolog
S000000629,YCR033W,SNT1,SaNT domains
S000000630,YCR034W,ELO2,fatty acid ELOngation
